Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
57,2023,2023-10-29,7,8,,CAR,,HOU,W 15-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
58,2023,2023-11-05,8,9,,CAR,,IND,L 13-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
59,2023,2023-11-09,9,10,,CAR,@,CHI,L 13-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
60,2023,2023-11-19,10,11,,CAR,,DAL,L 10-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
61,2023,2023-11-26,11,12,,CAR,@,TEN,L 10-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
62,2023,2023-12-03,12,13,25.280,CAR,@,TAM,L 18-21,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,7,11%,22,76%,
63,2023,2023-12-10,13,14,25.287,CAR,@,NOR,L 6-28,*,0,0,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,24,46%,20,83%,
64,2023,2023-12-17,14,15,25.294,CAR,,ATL,W 9-7,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,12,23%,16,84%,
65,2023,2023-12-24,15,16,25.301,CAR,,GNB,L 30-33,,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,12,18%,26,87%,
66,2023,2023-12-31,16,17,25.308,CAR,@,JAX,L 0-26,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,17%,23,100%,
67,2023,2024-01-07,17,18,25.315,CAR,,TAM,L 0-9,*,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,34%,19,95%,
68,2024,2024-09-08,1,1,26.195,WAS,@,TAM,L 20-37,*,0,0,,0,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,80%,10,37%,
69,2024,2024-09-15,2,2,26.202,WAS,,NYG,W 21-18,*,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,56,100%,8,38%,
70,2024,2024-09-23,3,3,26.210,WAS,@,CIN,W 38-33,*,0,0,,0,0,0,0.0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,55,89%,12,46%,
71,2024,2024-09-29,4,4,26.216,WAS,@,ARI,W 42-14,*,0,0,,0,0,0,0.0,7,3,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,59,100%,11,48%,
72,2024,2024-10-06,5,5,26.223,WAS,,CLE,W 34-13,*,0,0,,0,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,58,94%,11,36%,
73,2024,2024-10-13,6,6,26.230,WAS,@,BAL,L 23-30,*,0,0,,0,0,0,0.0,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,82%,11,38%,
74,2024,2024-10-20,7,7,26.237,WAS,,CAR,W 40-7,*,0,0,,0,0,0,0.0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,37,86%,11,42%,
75,2024,2024-10-27,8,8,26.244,WAS,,CHI,W 18-15,*,0,0,,0,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,60,95%,8,31%,
76,2024,2024-11-03,9,9,26.251,WAS,@,NYG,W 27-22,*,0,0,,0,0,0,0.0,7,6,13,2,0,0,0,0,1,0,0,0,0,0,0,0,0%,65,100%,8,36%,
77,2024,2024-11-10,10,10,26.258,WAS,,PIT,L 27-28,*,0,0,,0,0,0,0.0,6,7,13,0,0,1,0,0,1,0,0,0,1,0,0,0,0%,78,100%,10,31%,
78,2024,2024-11-14,11,11,26.262,WAS,@,PHI,L 18-26,*,0,0,,0,0,0,0.0,10,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,71,100%,11,41%,
