Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-09-10,,1,,DAL,,NYG,W 19-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
72,2022,2022-10-16,6,6,26.283,DAL,@,PHI,L 17-26,*,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,61,91%,0,0%,2,8%,
73,2022,2022-10-23,7,7,26.290,DAL,,DET,W 24-6,*,7,5,50,10.00,0,71.4%,7.14,0,0,,0,0,0,0.0,1,0,1,0,0,1,1,0,0,0,0,50,79%,0,0%,5,23%,
74,2022,2022-10-30,8,8,,DAL,,CHI,W 49-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
75,2022,2022-11-13,9,10,26.311,DAL,@,GNB,L 28-31,*,4,1,3,3.00,0,25.0%,0.75,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,76%,0,0%,5,17%,
76,2022,2022-11-20,10,11,26.318,DAL,@,MIN,W 40-3,*,2,2,42,21.00,0,100.0%,21.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,75%,0,0%,2,7%,
77,2022,2022-11-24,11,12,26.322,DAL,,NYG,W 28-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,45%,0,0%,1,4%,
78,2022,2022-12-04,12,13,26.332,DAL,,IND,W 54-19,*,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,79%,0,0%,6,19%,
79,2022,2022-12-11,13,14,26.339,DAL,,HOU,W 27-23,,6,4,85,21.25,0,66.7%,14.17,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,70%,0,0%,2,7%,
80,2022,2022-12-18,14,15,26.346,DAL,@,JAX,L 34-40,,9,6,49,8.17,2,66.7%,5.44,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,56,75%,0,0%,5,15%,
81,2022,2022-12-24,15,16,26.352,DAL,,PHI,W 40-34,*,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,75%,0,0%,1,3%,
