Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
51,2021,2021-09-26,3,3,25.265,SEA,@,MIN,L 17-30,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,88,44.00,-1,89,44.5,0,0.0%,1,50.0%,0,0,0%,0,0%,6,24%
52,2021,2021-10-03,4,4,25.272,SEA,@,SFO,W 28-21,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,405,50.63,32,333,41.6,2,25.0%,2,25.0%,0,0,0%,0,0%,13,42%
53,2021,2021-10-07,5,5,25.276,SEA,,LAR,L 17-26,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,202,50.50,11,191,47.8,0,0.0%,4,100.0%,0,0,0%,0,0%,8,29%
54,2021,2021-10-17,6,6,25.286,SEA,@,PIT,L 20-23,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,364,45.50,29,295,36.9,2,25.0%,1,12.5%,0,0,0%,0,0%,12,35%
55,2021,2021-10-25,7,7,25.294,SEA,,NOR,L 10-13,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,242,48.40,2,220,44.0,1,20.0%,3,60.0%,0,0,0%,0,0%,9,36%
56,2021,2021-10-31,8,8,25.300,SEA,,JAX,W 31-7,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,226,45.20,17,209,41.8,0,0.0%,3,60.0%,0,0,0%,0,0%,10,44%
57,2021,2021-11-14,9,10,25.314,SEA,@,GNB,L 0-17,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,274,45.67,29,245,40.8,0,0.0%,4,66.7%,0,0,0%,0,0%,6,33%
58,2021,2021-11-21,10,11,25.321,SEA,,ARI,L 13-23,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,257,51.40,20,217,43.4,1,20.0%,3,60.0%,0,0,0%,0,0%,8,30%
59,2021,2021-11-29,11,12,25.329,SEA,@,WAS,L 15-17,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,400,50.00,8,392,49.0,0,0.0%,3,37.5%,0,0,0%,0,0%,9,38%
60,2021,2021-12-05,12,13,25.335,SEA,,SFO,W 30-23,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,205,51.25,18,187,46.8,0,0.0%,2,50.0%,0,0,0%,0,0%,11,38%
61,2021,2021-12-12,13,14,25.342,SEA,@,HOU,W 33-13,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,169,42.25,2,167,41.8,0,0.0%,2,50.0%,0,0,0%,0,0%,9,32%
62,2021,2021-12-21,14,15,25.351,SEA,@,LAR,L 10-20,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,297,49.50,0,277,46.2,1,16.7%,3,50.0%,0,0,0%,0,0%,8,33%
63,2021,2021-12-26,15,16,25.356,SEA,,CHI,L 24-25,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,148,37.00,28,100,25.0,1,25.0%,1,25.0%,0,0,0%,0,0%,9,36%
64,2021,2022-01-02,16,17,25.363,SEA,,DET,W 51-29,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,45,45.00,0,45,45.0,0,0.0%,0,0.0%,0,0,0%,0,0%,10,31%
65,2021,2022-01-09,17,18,26.005,SEA,@,ARI,W 38-30,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,78,39.00,0,78,39.0,0,0.0%,2,100.0%,0,0,0%,0,0%,9,28%
66,2022,2022-09-12,1,1,26.251,SEA,,DEN,W 17-16,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,101,50.50,3,98,49.0,0,0.0%,0,0.0%,0,0,0%,0,0%,5,26%
67,2022,2022-09-18,2,2,26.257,SEA,@,SFO,L 7-27,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,249,49.80,23,226,45.2,0,0.0%,1,20.0%,0,0,0%,0,0%,6,26%
68,2022,2022-09-25,3,3,26.264,SEA,,ATL,L 23-27,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,102,51.00,6,96,48.0,0,0.0%,2,100.0%,0,0,0%,0,0%,7,28%
69,2022,2022-10-02,4,4,26.271,SEA,@,DET,W 48-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,9,27%
70,2022,2022-10-09,5,5,26.278,SEA,@,NOR,L 32-39,,1,-8,-8.00,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,233,46.60,25,208,41.6,0,0.0%,2,40.0%,0,0,0%,0,0%,11,32%
71,2022,2022-10-16,6,6,26.285,SEA,,ARI,W 19-9,,1,-10,-10.00,0,0.0,0,0,0,0,0,1,1,0,0,0,0,6,293,48.83,15,258,43.0,1,16.7%,1,16.7%,0,0,0%,0,0%,12,46%
72,2022,2022-10-23,7,7,26.292,SEA,@,LAC,W 37-23,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,46,46.00,0,46,46.0,0,0.0%,1,100.0%,0,0,0%,0,0%,9,31%
73,2022,2022-10-30,8,8,26.299,SEA,,NYG,W 27-13,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,291,48.50,28,243,40.5,1,16.7%,1,16.7%,0,0,0%,0,0%,11,37%
74,2022,2022-11-06,9,9,26.306,SEA,@,ARI,W 31-21,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,160,53.33,7,153,51.0,0,0.0%,1,33.3%,0,0,0%,0,0%,8,30%
