Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
86,2018,2018-10-11,6,6,28.156,PHI,@,NYG,W 34-13,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,58,82%,0,0%,0,0%,
87,2018,2018-10-21,7,7,28.166,PHI,,CAR,L 17-21,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
88,2018,2018-10-28,8,8,28.173,PHI,@,JAX,W 24-18,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,7,11%,0,0%,0,0%,
89,2018,2018-11-11,,10,,PHI,,DAL,L 20-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
90,2018,2018-11-18,10,11,28.194,PHI,@,NOR,L 7-48,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,51,100%,0,0%,0,0%,
91,2018,2018-11-25,11,12,28.201,PHI,,NYG,W 25-22,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,
92,2018,2018-12-03,12,13,28.209,PHI,,WAS,W 28-13,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,75,100%,0,0%,4,16%,
93,2018,2018-12-09,13,14,28.215,PHI,@,DAL,L 23-29,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,52,100%,0,0%,4,14%,
94,2018,2018-12-16,14,15,28.222,PHI,@,LAR,W 30-23,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,64,100%,0,0%,7,23%,
95,2018,2018-12-23,15,16,28.229,PHI,,HOU,W 32-30,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,82,100%,0,0%,5,18%,
96,2018,2018-12-30,16,17,28.236,PHI,@,WAS,W 24-0,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,71,100%,0,0%,4,21%,
97,2019,2019-09-08,1,1,29.123,PHI,,WAS,W 32-27,*,,,,,,0.0%,,0,0,0,,,0,0,0,74,100%,0,0%,4,14%,
98,2019,2019-09-15,2,2,29.130,PHI,@,ATL,L 20-24,*,,,,,,0.0%,,0,0,0,,,0,0,0,80,100%,0,0%,2,8%,
