Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
39,2023,2023-10-08,5,5,24.328,PHI,@,LAR,W 23-14,*,5,1,6,6.00,0,20.0%,1.20,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,74,94%,0,0%,0,0%,
40,2023,2023-10-15,6,6,24.335,PHI,@,NYJ,L 14-20,*,11,5,44,8.80,0,45.5%,4.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,99%,0,0%,0,0%,
41,2023,2023-10-22,7,7,24.342,PHI,,MIA,W 31-17,*,5,4,49,12.25,0,80.0%,9.80,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,96%,0,0%,0,0%,
42,2023,2023-10-29,8,8,24.349,PHI,@,WAS,W 38-31,*,7,7,99,14.14,1,100.0%,14.14,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,97%,0,0%,1,4%,
43,2023,2023-11-05,9,9,24.356,PHI,,DAL,W 28-23,*,3,3,51,17.00,1,100.0%,17.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,58,94%,0,0%,0,0%,
44,2023,2023-11-20,10,11,25.006,PHI,@,KAN,W 21-17,*,8,6,99,16.50,0,75.0%,12.38,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,95%,0,0%,0,0%,
45,2023,2023-11-26,11,12,25.012,PHI,,BUF,W 37-34,*,8,7,106,15.14,1,87.5%,13.25,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,65,98%,0,0%,0,0%,
46,2023,2023-12-03,12,13,25.019,PHI,,SFO,L 19-42,*,11,9,96,10.67,1,81.8%,8.73,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
47,2023,2023-12-10,13,14,25.026,PHI,@,DAL,L 13-33,*,10,5,73,14.60,0,50.0%,7.30,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,52,95%,0,0%,0,0%,
48,2023,2023-12-18,14,15,25.034,PHI,@,SEA,L 17-20,*,5,5,50,10.00,0,100.0%,10.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,96%,0,0%,1,4%,
49,2023,2023-12-25,15,16,25.041,PHI,,NYG,W 33-25,*,5,4,79,19.75,1,80.0%,15.80,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,70,93%,0,0%,0,0%,
50,2023,2023-12-31,16,17,25.047,PHI,,ARI,L 31-35,*,5,3,30,10.00,0,60.0%,6.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,88%,0,0%,0,0%,
51,2023,2024-01-07,17,18,,PHI,@,NYG,L 10-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,2024,2024-09-06,1,1,25.297,PHI,,GNB,W 34-29,*,8,7,84,12.00,0,87.5%,10.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%,
53,2024,2024-09-16,2,2,25.307,PHI,,ATL,L 21-22,*,10,7,76,10.86,1,70.0%,7.60,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,
54,2024,2024-09-22,3,3,25.313,PHI,@,NOR,W 15-12,*,10,7,79,11.29,0,70.0%,7.90,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,76%,0,0%,0,0%,
55,2024,2024-09-29,4,4,,PHI,@,TAM,L 16-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,2024,2024-10-13,5,6,25.334,PHI,,CLE,W 20-16,*,4,3,64,21.33,1,75.0%,16.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,
57,2024,2024-10-20,6,7,25.341,PHI,@,NYG,W 28-3,*,2,1,-2,-2.00,0,50.0%,-1.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,80%,0,0%,0,0%,
58,2024,2024-10-27,7,8,25.348,PHI,@,CIN,W 37-17,*,7,6,85,14.17,1,85.7%,12.14,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,93%,0,0%,0,0%,
59,2024,2024-11-03,8,9,25.355,PHI,,JAX,W 28-23,*,6,4,87,21.75,1,66.7%,14.50,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,76,96%,0,0%,0,0%,
60,2024,2024-11-10,9,10,25.362,PHI,@,DAL,W 34-6,*,3,2,14,7.00,0,66.7%,4.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,72%,0,0%,0,0%,
61,2024,2024-11-14,10,11,26.000,PHI,,WAS,W 26-18,*,6,4,29,7.25,0,66.7%,4.83,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,89%,0,0%,1,4%,
