Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
69,2021,2021-10-14,6,6,26.266,PHI,,TAM,L 22-28,,0,0,,0,0,0,,0,0,,,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,29%,
70,2021,2021-10-24,7,7,26.276,PHI,@,LVR,L 22-33,,0,0,,0,0,0,,0,0,,,2,2,100.0,,,,0,2,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,6,25%,
71,2021,2021-10-31,8,8,26.283,PHI,@,DET,W 44-6,,0,0,,0,0,0,,0,0,,,5,5,100.0,3,3,100.0,0,14,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,18,72%,
72,2021,2021-11-07,9,9,26.290,PHI,,LAC,L 24-27,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,9,41%,
73,2021,2021-11-14,10,10,26.297,PHI,@,DEN,W 30-13,,0,0,,0,0,0,,0,0,,,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,46%,
74,2021,2021-11-21,11,11,26.304,PHI,,NOR,W 40-29,,0,0,,0,0,0,,0,0,,,4,4,100.0,4,4,100.0,0,16,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,17,45%,
75,2021,2021-11-28,12,12,26.311,PHI,@,NYG,L 7-13,,0,0,,0,0,0,,0,0,,,1,1,100.0,,,,0,1,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,3,16%,
76,2021,2021-12-05,13,13,26.318,PHI,@,NYJ,W 33-18,,0,0,,0,0,0,,0,0,,,3,3,100.0,4,4,100.0,0,15,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,15,63%,
77,2021,2021-12-21,14,15,26.334,PHI,,WAS,W 27-17,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,44%,
78,2021,2021-12-26,15,16,26.339,PHI,,NYG,W 34-10,,0,0,,0,0,0,,0,0,,,4,4,100.0,2,3,66.7,0,10,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,14,45%,
