Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
35,2021,2021-09-26,3,3,25.254,SFO,,GNB,L 28-30,*,10,5,52,10.40,0,50.0%,5.20,2,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,90%,0,0%,0,0%,
36,2021,2021-10-03,4,4,25.261,SFO,,SEA,L 21-28,*,13,8,156,19.50,2,61.5%,12.00,1,1,1.00,0,0,0,,0,0,0,,0,0,,,1,15,15.00,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,68,89%,0,0%,1,3%,
37,2021,2021-10-10,5,5,25.268,SFO,@,ARI,L 10-17,*,9,3,58,19.33,0,33.3%,6.44,1,13,13.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,56,86%,0,0%,1,5%,
38,2021,2021-10-24,6,7,25.282,SFO,,IND,L 18-30,*,11,7,100,14.29,1,63.6%,9.09,0,0,,0,0,0,,0,0,0,,0,0,,,2,60,30.00,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,48,86%,0,0%,2,7%,
39,2021,2021-10-31,7,8,25.289,SFO,@,CHI,W 33-22,*,9,6,171,28.50,0,66.7%,19.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,82%,0,0%,0,0%,
40,2021,2021-11-07,8,9,25.296,SFO,,ARI,L 17-31,*,9,5,63,12.60,0,55.6%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,92%,0,0%,0,0%,
41,2021,2021-11-15,9,10,25.304,SFO,,LAR,W 31-10,*,5,5,97,19.40,1,100.0%,19.40,5,36,7.20,1,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,49,72%,0,0%,0,0%,
42,2021,2021-11-21,10,11,25.310,SFO,@,JAX,W 30-10,*,2,1,15,15.00,0,50.0%,7.50,8,79,9.88,1,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,80%,0,0%,0,0%,
43,2021,2021-11-28,11,12,25.317,SFO,,MIN,W 34-26,*,4,1,12,12.00,0,25.0%,3.00,6,66,11.00,2,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,46,66%,0,0%,0,0%,
44,2021,2021-12-05,12,13,,SFO,@,SEA,L 23-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
45,2021,2021-12-12,13,14,25.331,SFO,@,CIN,W 26-23,*,1,1,22,22.00,0,100.0%,22.00,8,37,4.63,1,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,77%,0,0%,0,0%,
46,2021,2021-12-19,14,15,25.338,SFO,,ATL,W 31-13,,5,4,60,15.00,0,80.0%,12.00,6,29,4.83,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,81%,0,0%,0,0%,
47,2021,2021-12-23,15,16,25.342,SFO,@,TEN,L 17-20,*,11,9,159,17.67,0,81.8%,14.45,5,32,6.40,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0,1,0,0,2,0,0,1,0,0,45,76%,0,0%,0,0%,
48,2021,2022-01-02,16,17,25.352,SFO,,HOU,W 23-7,*,6,3,63,21.00,1,50.0%,10.50,7,19,2.71,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,85%,0,0%,0,0%,
49,2021,2022-01-09,17,18,25.359,SFO,@,LAR,W 27-24,*,6,4,95,23.75,0,66.7%,15.83,8,45,5.63,1,1,1,100.00,24,1,0,158.3,0,0,24.00,44.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,50,71%,0,0%,5,18%,
50,2022,2022-09-11,1,1,26.239,SFO,@,CHI,L 10-19,*,7,2,14,7.00,0,28.6%,2.00,8,52,6.50,1,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,56,82%,0,0%,0,0%,
51,2022,2022-09-18,2,2,26.246,SFO,,SEA,W 27-7,*,6,5,44,8.80,0,83.3%,7.33,4,53,13.25,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,59,78%,0,0%,0,0%,
52,2022,2022-09-25,3,3,26.253,SFO,@,DEN,L 10-11,*,8,5,73,14.60,0,62.5%,9.13,5,6,1.20,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,44,79%,0,0%,0,0%,
53,2022,2022-10-03,4,4,26.261,SFO,,LAR,W 24-9,*,7,6,115,19.17,1,85.7%,16.43,2,2,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,40,80%,0,0%,0,0%,
54,2022,2022-10-09,5,5,26.267,SFO,@,CAR,W 37-15,,9,2,20,10.00,1,22.2%,2.22,2,12,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,79%,0,0%,1,4%,
55,2022,2022-10-16,6,6,26.274,SFO,@,ATL,L 14-28,*,10,7,79,11.29,0,70.0%,7.90,2,11,5.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,83%,0,0%,0,0%,
56,2022,2022-10-23,7,7,26.281,SFO,,KAN,L 23-44,*,7,5,42,8.40,0,71.4%,6.00,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,86%,0,0%,0,0%,
57,2022,2022-10-30,8,8,,SFO,@,LAR,W 31-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,2022,2022-11-13,9,10,26.302,SFO,,LAC,W 22-16,*,6,2,24,12.00,0,33.3%,4.00,4,27,6.75,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,87%,0,0%,0,0%,
59,2022,2022-11-21,10,11,26.310,SFO,@,ARI,W 38-10,*,9,7,57,8.14,0,77.8%,6.33,3,37,12.33,1,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,34,59%,0,0%,0,0%,
60,2022,2022-11-27,11,12,26.316,SFO,,NOR,W 13-0,*,7,3,43,14.33,0,42.9%,6.14,2,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,79%,0,0%,0,0%,
61,2022,2022-12-04,12,13,26.323,SFO,,MIA,W 33-17,*,10,6,58,9.67,0,60.0%,5.80,4,5,1.25,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,82%,0,0%,0,0%,
62,2022,2022-12-11,13,14,26.330,SFO,,TAM,W 35-7,*,5,4,43,10.75,0,80.0%,8.60,4,21,5.25,1,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,27,43%,0,0%,0,0%,
63,2022,2022-12-15,14,15,,SFO,@,SEA,W 21-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,2022,2022-12-24,15,16,,SFO,,WAS,W 37-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
65,2022,2023-01-01,16,17,,SFO,@,LVR,W 37-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
66,2022,2023-01-08,17,18,26.358,SFO,,ARI,W 38-13,*,3,2,20,10.00,0,66.7%,6.67,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,68%,0,0%,0,0%,
