Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
115,2023,2023-09-11,1,1,31.003,BUF,@,NYJ,L 16-22,*,,0,0,1.5,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,28,52%,0,0%,
116,2023,2023-09-17,2,2,31.009,BUF,,LVR,W 38-10,*,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,40%,0,0%,
117,2023,2023-09-24,3,3,31.016,BUF,@,WAS,W 37-3,*,,0,0,2.0,2,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0%,26,48%,0,0%,
118,2023,2023-10-01,4,4,31.023,BUF,,MIA,W 48-20,*,,0,0,0.0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,35,54%,0,0%,
119,2023,2023-10-08,5,5,31.030,BUF,,JAX,L 20-25,*,,0,0,2.0,2,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0%,46,52%,2,8%,
120,2023,2023-10-15,6,6,31.037,BUF,,NYG,W 14-9,*,,0,0,1.0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,45,58%,0,0%,
121,2023,2023-10-22,7,7,31.044,BUF,@,NWE,L 25-29,*,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,32,53%,0,0%,
122,2023,2023-10-26,8,8,31.048,BUF,,TAM,W 24-18,*,,0,0,0.0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,42,62%,0,0%,
123,2023,2023-11-05,9,9,31.058,BUF,@,CIN,L 18-24,*,,0,0,0.5,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,35,50%,1,5%,
124,2023,2023-11-13,10,10,31.066,BUF,,DEN,L 22-24,*,,0,0,0.0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,59%,2,7%,
125,2023,2023-11-19,11,11,31.072,BUF,,NYJ,W 32-6,*,,0,0,2.5,3,1,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0%,25,44%,0,0%,
126,2023,2023-11-26,12,12,31.079,BUF,@,PHI,L 34-37,*,,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,46,70%,0,0%,
127,2023,2023-12-10,13,14,31.093,BUF,@,KAN,W 20-17,*,,0,0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,41,62%,0,0%,
128,2023,2023-12-17,14,15,31.100,BUF,,DAL,W 31-10,*,,0,0,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,30,53%,1,4%,
129,2023,2023-12-23,15,16,31.106,BUF,@,LAC,W 24-22,*,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,40%,0,0%,
130,2023,2023-12-31,16,17,31.114,BUF,,NWE,W 27-21,,,0,0,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,43%,0,0%,
