Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
62,2022,2022-12-11,13,14,30.283,SFO,,TAM,W 35-7,,,,,,,,0,0,0.0,0,0,0,0,0,3,134,44.67,21,113,37.7,0,0.0%,1,33.3%,0,0,0%,0,0%,8,38%,
63,2022,2022-12-15,14,15,30.287,SFO,@,SEA,W 21-13,,,,,,,,0,0,0.0,0,0,0,0,0,6,253,42.17,0,233,38.8,1,16.7%,3,50.0%,0,0,0%,0,0%,10,36%,
64,2022,2022-12-24,15,16,30.296,SFO,,WAS,W 37-20,,,,,,,,0,0,0.0,0,0,0,0,0,2,80,40.00,4,76,38.0,0,0.0%,1,50.0%,0,0,0%,0,0%,9,33%,
65,2022,2023-01-01,16,17,30.304,SFO,@,LVR,W 37-34,,,,,,,,0,0,0.0,0,0,0,0,0,2,93,46.50,0,93,46.5,0,0.0%,1,50.0%,0,0,0%,0,0%,10,30%,
66,2022,2023-01-08,17,18,30.311,SFO,,ARI,W 38-13,,,,,,,,0,0,0.0,0,0,0,0,0,5,218,43.60,17,201,40.2,0,0.0%,3,60.0%,0,0,0%,0,0%,11,42%,
67,2023,2023-09-10,1,1,31.191,SFO,@,PIT,W 30-7,,,,,,,,0,0,0.0,0,0,0,0,0,3,134,44.67,2,132,44.0,0,0.0%,3,100.0%,0,0,0%,0,0%,17,65%,
68,2023,2023-09-17,2,2,31.198,SFO,@,LAR,W 30-23,,,,,,,,0,0,0.0,0,0,0,0,0,4,197,49.25,11,166,41.5,1,25.0%,2,50.0%,0,0,0%,0,0%,10,36%,
69,2023,2023-09-21,3,3,31.202,SFO,,NYG,W 30-12,,,,,,,,0,0,0.0,0,0,0,0,0,3,128,42.67,3,125,41.7,0,0.0%,2,66.7%,0,0,0%,0,0%,9,32%,
70,2023,2023-10-01,4,4,31.212,SFO,,ARI,W 35-16,,,,,,,,0,0,0.0,0,0,0,0,0,1,45,45.00,0,45,45.0,0,0.0%,1,100.0%,0,0,0%,0,0%,6,27%,
71,2023,2023-10-08,5,5,31.219,SFO,,DAL,W 42-10,,,,,,,,0,0,0.0,0,0,0,0,0,4,187,46.75,10,177,44.3,0,0.0%,2,50.0%,0,0,0%,0,0%,10,37%,
72,2023,2023-10-15,6,6,31.226,SFO,@,CLE,L 17-19,,,,,,,,0,0,0.0,0,0,0,0,0,6,314,52.33,44,270,45.0,0,0.0%,2,33.3%,0,0,0%,0,0%,11,36%,
73,2023,2023-10-23,7,7,31.234,SFO,@,MIN,L 17-22,,,,,,,,0,0,0.0,0,0,0,0,0,1,62,62.00,4,58,58.0,0,0.0%,0,0.0%,0,0,0%,0,0%,5,23%,
74,2023,2023-10-29,8,8,31.240,SFO,,CIN,L 17-31,,,,,,,,0,0,0.0,0,0,0,0,0,3,151,50.33,8,143,47.7,0,0.0%,2,66.7%,0,0,0%,0,0%,6,24%,
75,2023,2023-11-12,9,10,31.254,SFO,@,JAX,W 34-3,,,,,,,,0,0,0.0,0,0,0,0,0,3,141,47.00,15,126,42.0,0,0.0%,2,66.7%,0,0,0%,0,0%,9,39%,
76,2023,2023-11-19,10,11,31.261,SFO,,TAM,W 27-14,,,,,,,,0,0,0.0,0,0,0,0,0,3,153,51.00,64,89,29.7,0,0.0%,0,0.0%,0,0,0%,0,0%,8,36%,
77,2023,2023-11-23,11,12,31.265,SFO,@,SEA,W 31-13,,,,,,,,0,0,0.0,0,0,0,0,0,5,199,39.80,0,199,39.8,0,0.0%,3,60.0%,0,0,0%,0,0%,10,35%,
78,2023,2023-12-03,12,13,31.275,SFO,@,PHI,W 42-19,,,,,,,,0,0,0.0,0,0,0,0,0,2,95,47.50,0,95,47.5,0,0.0%,0,0.0%,0,0,0%,0,0%,8,31%,
79,2023,2023-12-10,13,14,31.282,SFO,,SEA,W 28-16,,,,,,,,0,0,0.0,0,0,0,0,0,5,246,49.20,8,218,43.6,1,20.0%,2,40.0%,0,0,0%,0,0%,10,37%,
80,2023,2023-12-17,14,15,31.289,SFO,@,ARI,W 45-29,,,,,,,,0,0,0.0,0,0,0,0,0,2,96,48.00,0,96,48.0,0,0.0%,1,50.0%,0,0,0%,0,0%,9,29%,
