Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,,SFO,,ARI,L 20-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,2023,2023-10-01,4,4,25.198,SFO,,ARI,W 35-16,*,6,6,148,24.67,0,100.0%,24.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,76%,0,0%,0,0%,
55,2023,2023-10-08,5,5,25.205,SFO,,DAL,W 42-10,*,7,4,58,14.50,0,57.1%,8.29,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,79%,0,0%,0,0%,
56,2023,2023-10-15,6,6,25.212,SFO,@,CLE,L 17-19,*,10,4,76,19.00,0,40.0%,7.60,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,98%,0,0%,0,0%,
57,2023,2023-10-23,7,7,25.220,SFO,@,MIN,L 17-22,*,6,5,57,11.40,0,83.3%,9.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,98%,0,0%,0,0%,
58,2023,2023-10-29,8,8,25.226,SFO,,CIN,L 17-31,*,9,5,109,21.80,0,55.6%,12.11,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,92%,0,0%,0,0%,
59,2023,2023-11-12,9,10,25.240,SFO,@,JAX,W 34-3,*,3,3,55,18.33,1,100.0%,18.33,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,42,68%,0,0%,0,0%,
60,2023,2023-11-19,10,11,25.247,SFO,,TAM,W 27-14,*,6,5,156,31.20,1,83.3%,26.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,88%,0,0%,0,0%,
61,2023,2023-11-23,11,12,25.251,SFO,@,SEA,W 31-13,*,4,2,50,25.00,1,50.0%,12.50,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,59,89%,0,0%,0,0%,
62,2023,2023-12-03,12,13,25.261,SFO,@,PHI,W 42-19,*,7,5,46,9.20,1,71.4%,6.57,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,51,86%,0,0%,1,4%,
63,2023,2023-12-10,13,14,25.268,SFO,,SEA,W 28-16,*,9,6,126,21.00,0,66.7%,14.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,49,91%,0,0%,0,0%,
