Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
99,2021,2021-09-26,3,3,29.228,BUF,,WAS,W 43-21,*,,,,,,,,,,,79,100%,0,0%,0,0%,
100,2021,2021-10-03,4,4,,BUF,,HOU,W 40-0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
101,2021,2021-10-10,5,5,29.242,BUF,@,KAN,W 38-20,*,,,,,,,,,,,57,100%,0,0%,0,0%,
102,2021,2021-10-18,6,6,29.250,BUF,@,TEN,L 31-34,*,,,,,,,,,,,77,100%,0,0%,0,0%,
103,2021,2021-10-31,7,8,29.263,BUF,,MIA,W 26-11,*,,,,,,,,,,,69,95%,0,0%,0,0%,
104,2021,2021-11-07,8,9,,BUF,@,JAX,L 6-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
105,2021,2021-11-14,9,10,,BUF,@,NYJ,W 45-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
106,2021,2021-11-21,10,11,,BUF,,IND,L 15-41,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
107,2021,2021-11-25,11,12,,BUF,@,NOR,W 31-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
108,2021,2021-12-06,12,13,,BUF,,NWE,L 10-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
