Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
41,2019,2019-11-10,9,10,26.148,LAR,@,PIT,L 12-17,*,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,92%,0,0%,0,0%,
42,2019,2019-11-17,10,11,26.155,LAR,,CHI,W 17-7,*,3,3,53,17.67,0,100.0%,17.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,2,0,0,0,0,0,53,98%,0,0%,0,0%,
43,2019,2019-11-25,11,12,26.163,LAR,,BAL,L 6-45,*,10,6,35,5.83,0,60.0%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,98%,0,0%,0,0%,
44,2019,2019-12-01,12,13,26.169,LAR,@,ARI,W 34-7,*,6,6,65,10.83,1,100.0%,10.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,72%,0,0%,0,0%,
45,2019,2019-12-08,13,14,26.176,LAR,,SEA,W 28-12,,4,4,45,11.25,1,100.0%,11.25,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,19,28%,0,0%,0,0%,
46,2019,2019-12-15,14,15,26.183,LAR,@,DAL,L 21-44,*,6,6,41,6.83,1,100.0%,6.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,68,92%,0,0%,1,3%,
47,2019,2019-12-21,15,16,26.189,LAR,@,SFO,L 31-34,*,4,4,31,7.75,1,100.0%,7.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,43,61%,0,0%,0,0%,
48,2019,2019-12-29,16,17,26.197,LAR,,ARI,W 31-24,*,10,7,99,14.14,1,70.0%,9.90,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,50,61%,0,0%,0,0%,
49,2020,2020-09-13,1,1,27.090,LAR,,DAL,W 20-17,,5,4,40,10.00,0,80.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,85%,0,0%,4,15%,
50,2020,2020-09-20,2,2,27.097,LAR,@,PHI,W 37-19,*,6,5,81,16.20,0,83.3%,13.50,2,19,9.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,8,8.00,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,59,86%,0,0%,2,8%,
51,2020,2020-09-27,3,3,27.104,LAR,@,BUF,L 32-35,*,10,9,107,11.89,1,90.0%,10.70,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,62,90%,0,0%,2,8%,
52,2020,2020-10-04,4,4,27.111,LAR,,NYG,W 17-9,*,7,5,69,13.80,1,71.4%,9.86,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,16,8.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,49,86%,0,0%,5,22%,
53,2020,2020-10-11,5,5,27.118,LAR,@,WAS,W 30-10,*,8,5,66,13.20,0,62.5%,8.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,20,5.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,82%,0,0%,7,23%,
54,2020,2020-10-18,6,6,27.125,LAR,@,SFO,L 16-24,*,9,3,11,3.67,0,33.3%,1.22,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,5,5.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,92%,0,0%,2,7%,
55,2020,2020-10-26,7,7,27.133,LAR,,CHI,W 24-10,*,6,6,43,7.17,0,100.0%,7.17,1,16,16.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,86%,0,0%,1,4%,
56,2020,2020-11-01,8,8,27.139,LAR,@,MIA,L 17-28,*,20,11,110,10.00,0,55.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,92,97%,0,0%,2,6%,
57,2020,2020-11-15,9,10,27.153,LAR,,SEA,W 23-16,*,7,5,50,10.00,0,71.4%,7.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,53%,0,0%,1,4%,
58,2020,2020-11-23,10,11,27.161,LAR,@,TAM,W 27-24,*,13,11,145,13.18,0,84.6%,11.15,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,72%,0,0%,0,0%,
59,2020,2020-11-29,11,12,27.167,LAR,,SFO,L 20-23,*,5,2,41,20.50,0,40.0%,8.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,89%,0,0%,0,0%,
60,2020,2020-12-06,12,13,27.174,LAR,@,ARI,W 38-28,,9,8,73,9.13,0,88.9%,8.11,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,65%,0,0%,1,3%,
