Team,Player,Position,Age,Experience,College,Games_Played,GS_total,GS_avg,GS_max,Tgt_total,Tgt_avg,Tgt_max,Rec_total,Rec_avg,Rec_max,Yds_total,Yds_avg,Yds_max,Y/R_total,Y/R_avg,Y/R_max,TD_total,TD_avg,TD_max,Ctch%_total,Ctch%_avg,Ctch%_max,Y/Tgt_total,Y/Tgt_avg,Y/Tgt_max,Sk_total,Sk_avg,Sk_max,Solo_total,Solo_avg,Solo_max,Ast_total,Ast_avg,Ast_max,Comb_total,Comb_avg,Comb_max,TFL_total,TFL_avg,TFL_max,QBHits_total,QBHits_avg,QBHits_max
Commanders,Ben Sinnott,TE,22.0,Rook,Kansas St.,11,0.0,0.0,0.0,3.0,0.2727272727272727,2.0,3.0,0.2727272727272727,2.0,18.0,1.6363636363636365,12.0,15.0,1.3636363636363635,12.0,1.0,0.09090909090909091,1.0,200.0,18.181818181818183,100.0,15.0,1.3636363636363635,12.0,0.0,0.0,0.0,1.0,0.09090909090909091,1.0,0.0,0.0,0.0,1.0,0.09090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Packers,John FitzPatrick,TE,24.0,1,Georgia,13,0.0,0.0,0.0,2.0,0.044444444444444446,1.0,2.0,0.044444444444444446,1.0,14.0,0.3111111111111111,12.0,14.0,0.3111111111111111,12.0,0.0,0.0,0.0,200.0,4.444444444444445,100.0,14.0,0.3111111111111111,12.0,0.0,0.0,0.0,3.0,0.06666666666666667,2.0,0.0,0.0,0.0,3.0,0.06666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Cardinals,Tip Reiman,TE,23.0,Rook,Illinois,11,0.0,0.0,0.0,2.0,0.18181818181818182,1.0,2.0,0.18181818181818182,1.0,6.0,0.5454545454545454,5.0,6.0,0.5454545454545454,5.0,0.0,0.0,0.0,200.0,18.181818181818183,100.0,6.0,0.5454545454545454,5.0,,,,,,,,,,,,,,,,,,
49ers,Jake Tonges,TE,25.0,2,California,15,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.023809523809523808,1.0,0.0,0.0,0.0,1.0,0.023809523809523808,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49ers,Brayden Willis,TE,25.0,1,Oklahoma,11,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.07142857142857142,1.0,0.0,0.0,0.0,2.0,0.07142857142857142,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Buccaneers,Devin Culp,TE,24.0,Rook,Washington,2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,Travis Vokolek,TE,26.0,1,RutgersNebraska,3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,Feleipe Franks,TE,27.0,3,FloridaArkansas,30,0.0,0.0,0.0,,,,,,,6.0,0.0967741935483871,3.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,7.0,0.11290322580645161,1.0,3.0,0.04838709677419355,1.0,10.0,0.16129032258064516,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Saints,Dallin Holker,TE,24.0,Rook,BYUColorado St.,6,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,1.0,1.0,0.09090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Seahawks,Brady Russell,TE,26.0,1,Colorado,24,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,11.0,0.39285714285714285,1.0,5.0,0.17857142857142858,1.0,16.0,0.5714285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0
