Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
37,2016,2016-10-16,5,6,24.339,KAN,@,OAK,W 26-10,,0,0,,0,0,0,,0,0,,,2,3,66.7,2,3,66.7,0,8,0.0,1,0,1,0,0,0,0%,0,0%,12,52%,
38,2016,2016-10-23,6,7,24.346,KAN,,NOR,W 27-21,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,11,42%,
39,2016,2016-10-30,7,8,24.353,KAN,@,IND,W 30-14,,0,0,,0,0,0,,0,0,,,3,3,100.0,3,4,75.0,0,12,0.0,0,0,0,,,0,0%,0,0%,14,44%,
40,2016,2016-11-06,8,9,24.360,KAN,,JAX,W 19-14,,0,0,,0,0,0,,0,0,,,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,,,0,0%,0,0%,11,39%,
41,2016,2016-11-13,9,10,25.001,KAN,@,CAR,W 20-17,,0,0,,0,0,0,,0,0,,,,,,4,4,100.0,0,12,0.0,0,0,0,,,0,0%,0,0%,9,35%,
42,2016,2016-11-20,10,11,25.008,KAN,,TAM,L 17-19,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,7,30%,
43,2016,2016-11-27,11,12,25.015,KAN,@,DEN,W 30-27,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0%,0,0%,11,27%,
44,2016,2016-12-04,12,13,25.022,KAN,@,ATL,W 29-28,,0,0,,0,0,0,,0,0,,,3,4,75.0,,,,0,3,0.0,0,0,0,,,0,0%,0,0%,9,38%,
45,2016,2016-12-08,13,14,25.026,KAN,,OAK,W 21-13,,0,0,,0,0,0,,0,0,,,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0%,0,0%,7,24%,
46,2016,2016-12-18,14,15,25.036,KAN,,TEN,L 17-19,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,7,29%,
47,2016,2016-12-25,15,16,25.043,KAN,,DEN,W 33-10,,0,0,,0,0,0,,0,0,,,3,4,75.0,2,3,66.7,0,9,0.0,1,0,1,0,0,0,0%,0,0%,14,45%,
48,2016,2017-01-01,16,17,25.050,KAN,@,SDG,W 37-27,,0,0,,0,0,0,,0,0,,,4,4,100.0,3,3,100.0,0,13,0.0,0,0,0,,,0,0%,0,0%,14,50%,
49,2017,2017-09-07,1,1,25.299,KAN,@,NWE,W 42-27,,0,0,,0,0,0,,0,0,,,6,6,100.0,,,,0,6,0.0,0,0,0,,,0,0%,0,0%,13,34%,
50,2017,2017-09-17,2,2,25.309,KAN,,PHI,W 27-20,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,11,37%,
