Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
110,2012,2012-12-16,14,15,28.211,JAX,@,MIA,L 3-24,*,4,3,8,2.67,0,75.0%,2.00,,0,0,0,0,0,0,0,0,48,76%,0,0%,0,0%,
111,2012,2012-12-23,15,16,28.218,JAX,,NWE,L 16-23,*,6,4,27,6.75,0,66.7%,4.50,,0,0,0,0,0,0,0,0,64,81%,0,0%,0,0%,
112,2012,2012-12-30,16,17,28.225,JAX,@,TEN,L 20-38,*,10,7,103,14.71,0,70.0%,10.30,,0,0,0,0,0,0,0,0,64,86%,0,0%,0,0%,
113,2013,2013-09-08,,1,,JAX,,KAN,L 2-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
114,2013,2013-09-15,,2,,JAX,@,OAK,L 9-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
115,2013,2013-09-22,,3,,JAX,@,SEA,L 17-45,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
116,2013,2013-09-29,4,4,29.133,JAX,,IND,L 3-37,*,,,,,,0.0%,,,0,0,0,,,0,0,0,2,4%,0,0%,0,0%,
117,2013,2013-10-06,,5,,JAX,@,STL,L 20-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
118,2013,2013-10-13,,6,,JAX,@,DEN,L 19-35,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
119,2013,2013-10-20,7,7,29.154,JAX,,SDG,L 6-24,*,3,1,31,31.00,0,33.3%,10.33,,0,0,0,0,0,0,0,0,50,82%,0,0%,0,0%,
120,2013,2013-10-27,8,8,29.161,JAX,,SFO,L 10-42,*,3,1,6,6.00,0,33.3%,2.00,,0,0,1,1,0,0,0,0,65,89%,0,0%,0,0%,
121,2013,2013-11-10,9,10,29.175,JAX,@,TEN,W 29-27,*,6,3,39,13.00,0,50.0%,6.50,,0,0,0,0,0,0,0,0,53,88%,0,0%,0,0%,
122,2013,2013-11-17,10,11,29.182,JAX,,ARI,L 14-27,*,7,3,23,7.67,0,42.9%,3.29,,0,0,0,0,0,0,0,0,49,80%,0,0%,0,0%,
123,2013,2013-11-24,11,12,29.189,JAX,@,HOU,W 13-6,*,1,1,18,18.00,0,100.0%,18.00,,0,0,0,0,0,0,0,0,62,91%,0,0%,0,0%,
124,2013,2013-12-01,12,13,29.196,JAX,@,CLE,W 32-28,*,4,3,26,8.67,1,75.0%,6.50,,1,6,0,0,0,0,0,0,64,85%,0,0%,0,0%,
125,2013,2013-12-05,13,14,29.200,JAX,,HOU,W 27-20,*,4,2,42,21.00,1,50.0%,10.50,,1,6,0,0,0,0,0,0,58,91%,0,0%,0,0%,
