Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
102,2018,2018-10-14,6,6,28.220,CLE,,LAC,L 14-38,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,74,100%,0,0%,2,7%,
103,2018,2018-10-21,7,7,28.227,CLE,@,TAM,L 23-26,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,68,100%,0,0%,3,9%,
104,2018,2018-10-28,8,8,28.234,CLE,@,PIT,L 18-33,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,64,100%,0,0%,4,13%,
105,2018,2018-11-04,9,9,28.241,CLE,,KAN,L 21-37,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,75,100%,0,0%,1,4%,
106,2018,2018-11-11,10,10,28.248,CLE,,ATL,W 28-16,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,53,100%,0,0%,4,18%,
107,2018,2018-11-25,11,12,28.262,CLE,@,CIN,W 35-20,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,64,100%,0,0%,5,20%,
108,2018,2018-12-02,12,13,28.269,CLE,@,HOU,L 13-29,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,57,100%,0,0%,1,4%,
109,2018,2018-12-09,13,14,28.276,CLE,,CAR,W 26-20,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,52,100%,0,0%,6,21%,
110,2018,2018-12-15,14,15,28.282,CLE,@,DEN,W 17-16,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,67,100%,0,0%,3,13%,
111,2018,2018-12-23,15,16,28.290,CLE,,CIN,W 26-18,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,69,100%,0,0%,5,19%,
112,2018,2018-12-30,16,17,28.297,CLE,@,BAL,L 24-26,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,59,100%,0,0%,5,16%,
113,2019,2019-09-08,1,1,29.184,NYG,@,DAL,L 17-35,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,68,100%,0,0%,3,12%,
114,2019,2019-09-15,2,2,29.191,NYG,,BUF,L 14-28,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,1,0,0,68,100%,0,0%,3,11%,
115,2019,2019-09-22,3,3,29.198,NYG,@,TAM,W 32-31,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,62,100%,0,0%,4,12%,
116,2019,2019-09-29,4,4,29.205,NYG,,WAS,W 24-3,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,77,100%,0,0%,4,20%,
117,2019,2019-10-06,5,5,29.212,NYG,,MIN,L 10-28,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,68,100%,0,0%,3,13%,
118,2019,2019-10-10,6,6,29.216,NYG,@,NWE,L 14-35,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,50,100%,0,0%,2,8%,
119,2019,2019-10-20,7,7,29.226,NYG,,ARI,L 21-27,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,70,100%,0,0%,4,14%,
120,2019,2019-10-27,8,8,29.233,NYG,@,DET,L 26-31,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,74,100%,0,0%,3,12%,
121,2019,2019-11-04,9,9,29.241,NYG,,DAL,L 18-37,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,5,16%,
122,2019,2019-11-10,10,10,29.247,NYG,@,NYJ,L 27-34,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,69,100%,0,0%,3,9%,
123,2019,2019-11-24,11,12,29.261,NYG,@,CHI,L 14-19,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,57,95%,0,0%,4,15%,
124,2019,2019-12-01,12,13,29.268,NYG,,GNB,L 13-31,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,66,100%,0,0%,3,14%,
125,2019,2019-12-09,13,14,29.276,NYG,@,PHI,L 17-23,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,46,88%,0,0%,3,9%,
