Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
53,2021,2021-10-10,5,5,27.321,DEN,@,PIT,L 19-27,*,9,7,89,12.71,0,77.8%,9.89,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,95%,0,0%,0,0%,
54,2021,2021-10-17,6,6,27.328,DEN,,LVR,L 24-34,*,6,3,42,14.00,1,50.0%,7.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,72,89%,0,0%,0,0%,
55,2021,2021-10-21,7,7,27.332,DEN,@,CLE,L 14-17,*,5,2,16,8.00,0,40.0%,3.20,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,94%,0,0%,0,0%,
56,2021,2021-10-31,8,8,27.342,DEN,,WAS,W 17-10,*,3,3,64,21.33,0,100.0%,21.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,94%,0,0%,0,0%,
57,2021,2021-11-07,9,9,27.349,DEN,@,DAL,W 30-16,*,5,4,85,21.25,1,80.0%,17.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,48,62%,0,0%,0,0%,
58,2021,2021-11-14,10,10,27.356,DEN,,PHI,L 13-30,*,6,3,14,4.67,0,50.0%,2.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,91%,0,0%,0,0%,
59,2021,2021-11-28,11,12,28.005,DEN,,LAC,W 28-13,*,3,2,26,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,2,0,50,81%,0,0%,1,5%,
60,2021,2021-12-05,12,13,28.012,DEN,@,KAN,L 9-22,*,5,1,9,9.00,0,20.0%,1.80,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,87%,0,0%,0,0%,
61,2021,2021-12-12,13,14,28.019,DEN,,DET,W 38-10,*,5,2,21,10.50,0,40.0%,4.20,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,76%,0,0%,0,0%,
62,2021,2021-12-19,14,15,28.026,DEN,,CIN,L 10-15,*,5,3,42,14.00,1,60.0%,8.40,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,71,95%,0,0%,0,0%,
