Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
41,2023,2023-10-22,7,7,23.363,DET,@,BAL,L 6-38,*,19,13,102,7.85,0,68.4%,5.37,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,73,97%,0,0%,0,0%,
42,2023,2023-10-30,8,8,24.006,DET,,LVR,W 26-14,*,9,6,108,18.00,0,66.7%,12.00,0,0,,0,0,0,,0,0,0,,1,8,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,79,92%,0,0%,0,0%,
43,2023,2023-11-12,9,10,24.019,DET,@,LAC,W 41-38,*,9,8,156,19.50,1,88.9%,17.33,2,9,4.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,92%,0,0%,0,0%,
44,2023,2023-11-19,10,11,24.026,DET,,CHI,W 31-26,*,11,8,77,9.63,1,72.7%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,92%,0,0%,1,4%,
45,2023,2023-11-23,11,12,24.030,DET,,GNB,L 22-29,*,11,9,95,10.56,0,81.8%,8.64,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,77,92%,0,0%,0,0%,
46,2023,2023-12-03,12,13,24.040,DET,@,NOR,W 33-28,*,6,2,49,24.50,1,33.3%,8.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,79%,0,0%,0,0%,
47,2023,2023-12-10,13,14,24.047,DET,@,CHI,L 13-28,*,8,3,21,7.00,0,37.5%,2.63,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,57,88%,0,0%,0,0%,
48,2023,2023-12-16,14,15,24.053,DET,,DEN,W 42-17,*,9,7,112,16.00,1,77.8%,12.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,92%,0,0%,2,7%,
49,2023,2023-12-24,15,16,24.061,DET,@,MIN,W 30-24,*,14,12,106,8.83,1,85.7%,7.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,78,99%,0,0%,1,4%,
50,2023,2023-12-30,16,17,24.067,DET,@,DAL,L 19-20,*,8,6,90,15.00,1,75.0%,11.25,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,
51,2023,2024-01-07,17,18,24.075,DET,,MIN,W 30-20,*,10,7,144,20.57,1,70.0%,14.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,41,72%,0,0%,0,0%,
52,2024,2024-09-08,1,1,24.320,DET,,LAR,W 26-20,*,6,3,13,4.33,0,50.0%,2.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,98%,0,0%,0,0%,
53,2024,2024-09-15,2,2,24.327,DET,,TAM,L 16-20,*,18,11,119,10.82,0,61.1%,6.61,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,79,92%,0,0%,0,0%,
54,2024,2024-09-22,3,3,24.334,DET,@,ARI,W 20-13,*,8,7,75,10.71,1,87.5%,9.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,65,96%,0,0%,0,0%,
55,2024,2024-09-30,4,4,24.342,DET,,SEA,W 42-29,*,6,6,45,7.50,1,100.0%,7.50,0,0,,0,1,1,100.00,7,1,0,135.4,0,0,7.00,27.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,47,89%,0,0%,0,0%,
56,2024,2024-10-13,5,6,24.355,DET,@,DAL,W 47-9,*,4,4,37,9.25,1,100.0%,9.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,43,63%,0,0%,0,0%,
57,2024,2024-10-20,6,7,24.362,DET,@,MIN,W 31-29,*,8,8,112,14.00,1,100.0%,14.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,54,95%,0,0%,0,0%,
58,2024,2024-10-27,7,8,25.003,DET,,TEN,W 52-14,*,2,2,7,3.50,1,100.0%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,42,88%,0,0%,0,0%,
59,2024,2024-11-03,8,9,25.010,DET,@,GNB,W 24-14,*,7,7,56,8.00,1,100.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,93%,0,0%,1,5%,
60,2024,2024-11-10,9,10,25.017,DET,@,HOU,W 26-23,*,8,6,60,10.00,1,75.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,64,98%,0,0%,0,0%,
61,2024,2024-11-17,10,11,25.024,DET,,JAX,W 52-6,*,11,11,161,14.64,2,100.0%,14.64,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,63,80%,0,0%,0,0%,
62,2024,2024-11-24,11,12,25.031,DET,@,IND,W 24-6,*,7,6,62,10.33,0,85.7%,8.86,0,0,,0,0,0,,0,0,0,,0,0,,,2,15,7.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,94%,0,0%,3,12%,
