Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
66,2023,2023-12-30,16,17,27.120,DET,@,DAL,L 19-20,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,195,48.75,0,175,43.8,1,25.0%,2,50.0%,0,0,0%,0,0%,12,46%
67,2023,2024-01-07,17,18,27.128,DET,,MIN,W 30-20,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,268,53.60,13,195,39.0,2,40.0%,2,40.0%,0,0,0%,0,0%,16,57%
68,2024,2024-09-08,1,1,28.007,DET,,LAR,W 26-20,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,230,57.50,0,170,42.5,2,50.0%,2,50.0%,0,0,0%,0,0%,8,31%
69,2024,2024-09-15,2,2,28.014,DET,,TAM,L 16-20,,1,1,100.00,17,0,0,118.7,0,0,17.00,17.00,0.0,0,0,0,0,0,0,0,0,0,0,0,2,67,33.50,0,67,33.5,0,0.0%,2,100.0%,0,0,0%,0,0%,7,27%
70,2024,2024-09-22,3,3,28.021,DET,@,ARI,W 20-13,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,247,49.40,0,227,45.4,1,20.0%,4,80.0%,0,0,0%,0,0%,8,35%
71,2024,2024-09-30,4,4,28.029,DET,,SEA,W 42-29,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,140,46.67,1,139,46.3,0,0.0%,0,0.0%,0,0,0%,0,0%,9,31%
72,2024,2024-10-13,5,6,28.042,DET,@,DAL,W 47-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,9,32%
73,2024,2024-10-20,6,7,28.049,DET,@,MIN,W 31-29,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,219,54.75,15,184,46.0,1,25.0%,1,25.0%,0,0,0%,0,0%,10,32%
74,2024,2024-10-27,7,8,28.056,DET,,TEN,W 52-14,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,305,61.00,25,280,56.0,0,0.0%,3,60.0%,0,0,0%,0,0%,13,39%
75,2024,2024-11-03,8,9,28.063,DET,@,GNB,W 24-14,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,199,49.75,7,192,48.0,0,0.0%,1,25.0%,0,0,0%,0,0%,8,36%
76,2024,2024-11-10,9,10,28.070,DET,@,HOU,W 26-23,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,188,47.00,43,145,36.3,0,0.0%,1,25.0%,0,0,0%,0,0%,8,27%
77,2024,2024-11-17,10,11,28.077,DET,,JAX,W 52-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,8,31%
78,2024,2024-11-24,11,12,28.084,DET,@,IND,W 24-6,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,192,48.00,4,188,47.0,0,0.0%,4,100.0%,0,0,0%,0,0%,8,33%
