Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
72,2023,2023-10-15,6,6,26.104,MIN,@,CHI,W 19-13,,8,6,50,8.33,0,75.0%,6.25,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,79%,0,0%,0,0%,
73,2023,2023-10-23,7,7,26.112,MIN,,SFO,W 22-17,*,12,11,86,7.82,0,91.7%,7.17,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,84%,0,0%,0,0%,
74,2023,2023-10-29,8,8,26.118,MIN,@,GNB,W 24-10,*,9,6,88,14.67,1,66.7%,9.78,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,85%,0,0%,0,0%,
75,2023,2023-11-05,9,9,26.125,MIN,@,ATL,W 31-28,*,12,7,69,9.86,0,58.3%,5.75,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,84%,0,0%,0,0%,
76,2023,2023-11-12,10,10,26.132,MIN,,NOR,W 27-19,*,15,11,134,12.18,1,73.3%,8.93,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,63%,0,0%,0,0%,
77,2023,2023-11-19,11,11,26.139,MIN,@,DEN,L 20-21,*,7,4,55,13.75,0,57.1%,7.86,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,70%,0,0%,0,0%,
78,2023,2023-11-27,12,12,26.147,MIN,,CHI,L 10-12,*,6,5,50,10.00,1,83.3%,8.33,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,44,80%,0,0%,0,0%,
79,2023,2023-12-10,13,14,26.160,MIN,@,LVR,W 3-0,,8,5,53,10.60,0,62.5%,6.63,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,93%,0,0%,0,0%,
80,2023,2023-12-16,14,15,26.166,MIN,@,CIN,L 24-27,*,7,6,63,10.50,0,85.7%,9.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,87%,0,0%,0,0%,
81,2023,2023-12-24,15,16,26.174,MIN,,DET,L 24-30,*,4,4,58,14.50,0,100.0%,14.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,44%,0,0%,0,0%,
82,2023,2023-12-31,16,17,,MIN,,GNB,L 10-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
83,2023,2024-01-07,17,18,,MIN,@,DET,L 20-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
84,2024,2024-09-08,1,1,,MIN,@,NYG,W 28-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
85,2024,2024-09-15,2,2,,MIN,,SFO,W 23-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
86,2024,2024-09-22,3,3,,MIN,,HOU,W 34-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
87,2024,2024-09-29,4,4,,MIN,@,GNB,W 31-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
88,2024,2024-10-06,5,5,,MIN,,NYJ,W 23-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
89,2024,2024-10-20,6,7,,MIN,,DET,L 29-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
90,2024,2024-10-24,7,8,,MIN,@,LAR,L 20-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
91,2024,2024-11-03,8,9,27.123,MIN,,IND,W 21-13,*,4,3,27,9.00,0,75.0%,6.75,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,45%,0,0%,1,5%,
