Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
59,2023,2023-11-05,9,9,,MIN,@,ATL,W 31-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
60,2023,2023-11-12,10,10,,MIN,,NOR,W 27-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
61,2023,2023-11-19,11,11,,MIN,@,DEN,L 20-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
62,2023,2023-11-27,12,12,,MIN,,CHI,L 10-12,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
63,2023,2023-12-10,13,14,24.177,MIN,@,LVR,W 3-0,,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,18%,0,0%,0,0%,
64,2023,2023-12-16,14,15,24.183,MIN,@,CIN,L 24-27,*,10,7,84,12.00,0,70.0%,8.40,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,96%,0,0%,0,0%,
65,2023,2023-12-24,15,16,24.191,MIN,,DET,L 24-30,*,10,6,141,23.50,1,60.0%,14.10,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,1,0,0,54,98%,0,0%,0,0%,
66,2023,2023-12-31,16,17,24.198,MIN,,GNB,L 10-33,*,10,5,59,11.80,0,50.0%,5.90,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,100%,0,0%,0,0%,
67,2023,2024-01-07,17,18,24.205,MIN,@,DET,L 20-30,*,14,12,192,16.00,1,85.7%,13.71,1,-12,-12.00,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,68,93%,0,0%,0,0%,
68,2024,2024-09-08,1,1,25.084,MIN,@,NYG,W 28-6,*,6,4,59,14.75,1,66.7%,9.83,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,84%,0,0%,0,0%,
69,2024,2024-09-15,2,2,25.091,MIN,,SFO,W 23-17,*,7,4,133,33.25,1,57.1%,19.00,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,38,70%,0,0%,0,0%,
70,2024,2024-09-22,3,3,25.098,MIN,,HOU,W 34-7,*,8,6,81,13.50,1,75.0%,10.13,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,90%,0,0%,0,0%,
71,2024,2024-09-29,4,4,25.105,MIN,@,GNB,W 31-29,*,8,6,85,14.17,1,75.0%,10.63,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,90%,0,0%,1,3%,
72,2024,2024-10-06,5,5,25.112,MIN,,NYJ,W 23-17,*,14,6,92,15.33,0,42.9%,6.57,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,69,95%,0,0%,0,0%,
73,2024,2024-10-20,6,7,25.126,MIN,,DET,L 29-31,*,8,7,81,11.57,1,87.5%,10.13,1,3,3.00,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,58,97%,0,0%,0,0%,
74,2024,2024-10-24,7,8,25.130,MIN,@,LAR,L 20-30,*,9,8,115,14.38,0,88.9%,12.78,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,100%,0,0%,0,0%,
75,2024,2024-11-03,8,9,25.140,MIN,,IND,W 21-13,*,9,7,137,19.57,0,77.8%,15.22,0,0,,0,1,1,100.00,22,0,0,118.7,0,0,22.00,22.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72,99%,0,0%,1,5%,
76,2024,2024-11-10,9,10,25.147,MIN,@,JAX,W 12-7,*,9,5,48,9.60,0,55.6%,5.33,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,78,93%,0,0%,0,0%,
77,2024,2024-11-17,10,11,25.154,MIN,@,TEN,W 23-13,*,8,6,81,13.50,0,75.0%,10.13,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72,99%,0,0%,0,0%,
78,2024,2024-11-24,11,12,25.161,MIN,@,CHI,W 30-27,*,5,2,27,13.50,0,40.0%,5.40,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,99%,0,0%,1,3%,
