Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
61,2021,2021-12-12,13,14,25.276,HOU,,SEA,L 13-33,*,0,0,,0,0,30,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,40,66%,19,68%,
62,2021,2021-12-19,14,15,25.283,HOU,@,JAX,W 30-16,*,0,0,,0,0,0,,0,0,0,0.0,7,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,80%,15,47%,
63,2021,2021-12-26,15,16,25.290,HOU,,LAC,W 41-29,*,0,0,,0,0,0,,0,1,6,0.0,6,2,8,0,0,1,48,1,1,0,0,0,0,0,0,0,0%,48,77%,17,63%,
64,2021,2022-01-02,16,17,25.297,HOU,@,SFO,L 7-23,,0,0,,0,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,30,48%,16,64%,
65,2021,2022-01-09,17,18,25.304,HOU,,TEN,L 25-28,*,0,0,,0,0,0,,0,0,0,0.0,6,3,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,43,63%,19,70%,
66,2022,2022-09-11,1,1,,HOU,,IND,T 20-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
67,2022,2022-09-18,2,2,,HOU,@,DEN,L 9-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
68,2022,2022-09-25,3,3,,HOU,@,CHI,L 20-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
69,2022,2022-10-02,4,4,,HOU,,LAC,L 24-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
70,2022,2022-10-09,5,5,,HOU,@,JAX,W 13-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
71,2022,2022-10-23,6,7,,HOU,@,LVR,L 20-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
72,2022,2022-10-30,7,8,,HOU,,TEN,L 10-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
73,2022,2022-11-03,8,9,26.237,HOU,,PHI,L 17-29,,0,0,,0,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,17%,20,87%,
74,2022,2022-11-13,9,10,26.247,HOU,@,NYG,L 16-24,,0,0,,0,0,0,,0,0,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,64%,26,86%,
75,2022,2022-11-20,10,11,26.254,HOU,,WAS,L 10-23,*,0,0,,0,0,0,,0,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,60%,12,44%,
76,2022,2022-11-27,11,12,26.261,HOU,@,MIA,L 15-30,*,0,0,,0,0,0,,0,0,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,54%,12,40%,
77,2022,2022-12-04,12,13,26.268,HOU,,CLE,L 14-27,*,0,0,,0,0,0,,0,0,0,0.0,2,3,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0%,42,67%,14,45%,
78,2022,2022-12-11,13,14,26.275,HOU,@,DAL,L 23-27,,0,0,,0,0,0,,0,0,0,0.0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,66%,21,75%,
79,2022,2022-12-18,14,15,26.282,HOU,,KAN,L 24-30,,0,0,,0,0,0,,0,0,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,40,52%,16,57%,
80,2022,2022-12-24,15,16,26.288,HOU,@,TEN,W 19-14,*,0,0,,0,0,0,,0,0,0,0.0,3,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,41,67%,11,46%,
81,2022,2023-01-01,16,17,26.296,HOU,,JAX,L 3-31,*,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,73%,9,36%,
82,2022,2023-01-08,17,18,26.303,HOU,@,IND,W 32-31,*,0,0,,0,0,0,,0,0,0,0.0,6,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,78%,12,44%,
83,2023,2023-09-10,1,1,27.183,HOU,@,BAL,L 9-25,*,0,0,,0,0,0,,0,0,0,0.0,6,2,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0%,40,63%,16,64%,
84,2023,2023-09-17,2,2,27.190,HOU,,IND,L 20-31,,0,0,,0,0,0,,0,0,0,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,43,75%,7,24%,
85,2023,2023-09-24,3,3,,HOU,@,JAX,W 37-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
