Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
43,2018,2018-11-25,11,12,25.288,NYG,@,PHI,L 22-25,*,6,4,37,9.25,0,66.7%,6.17,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,92%,0,0%,0,0%,
44,2018,2018-12-02,12,13,25.295,NYG,,CHI,W 30-27,*,6,4,28,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,79%,0,0%,1,3%,
45,2018,2018-12-09,13,14,25.302,NYG,@,WAS,W 40-16,*,6,2,17,8.50,1,33.3%,2.83,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,43,67%,0,0%,1,3%,
46,2018,2018-12-16,14,15,25.309,NYG,,TEN,L 0-17,*,9,2,37,18.50,0,22.2%,4.11,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,100%,0,0%,0,0%,
47,2018,2018-12-23,15,16,25.316,NYG,@,IND,L 27-28,*,7,6,113,18.83,0,85.7%,16.14,1,-3,-3.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,89%,0,0%,0,0%,
48,2018,2018-12-30,16,17,25.323,NYG,,DAL,L 35-36,*,9,4,67,16.75,0,44.4%,7.44,1,9,9.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,93%,0,0%,0,0%,
49,2019,2019-09-08,1,1,26.210,NYG,@,DAL,L 17-35,*,7,6,42,7.00,0,85.7%,6.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,99%,0,0%,0,0%,
50,2019,2019-09-15,,2,,NYG,,BUF,L 14-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,2019,2019-09-22,3,3,26.224,NYG,@,TAM,W 32-31,*,9,7,100,14.29,1,77.8%,11.11,2,21,10.50,0,0,0,,0,0,0,,0,1,1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,59,95%,0,0%,0,0%,
52,2019,2019-09-29,4,4,26.231,NYG,,WAS,W 24-3,*,9,7,76,10.86,0,77.8%,8.44,1,23,23.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,91%,0,0%,0,0%,
