Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
41,2020,2020-11-15,9,10,,GNB,,JAX,W 24-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,2020,2020-11-22,10,11,23.287,GNB,@,IND,L 31-34,*,0,0,,0,,0,0,0.0,4,2,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,84,100%,0,0%,
43,2020,2020-11-29,11,12,23.294,GNB,,CHI,W 41-25,*,0,0,,0,,0,0,0.0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,68,100%,0,0%,
44,2020,2020-12-06,12,13,23.301,GNB,,PHI,W 30-16,*,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,61,98%,1,4%,
45,2020,2020-12-13,13,14,23.308,GNB,@,DET,W 31-24,*,0,0,,0,,0,0,0.0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,65,97%,0,0%,
46,2020,2020-12-19,14,15,23.314,GNB,,CAR,W 24-16,*,0,0,,0,,0,0,0.0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,69,100%,2,7%,
47,2020,2020-12-27,15,16,23.322,GNB,,TEN,W 40-14,*,0,0,,0,,0,0,0.0,1,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0%,52,95%,1,5%,
48,2020,2021-01-03,16,17,23.329,GNB,@,CHI,W 35-16,*,0,0,,0,,0,0,0.0,2,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0%,74,99%,0,0%,
49,2021,2021-09-12,1,1,24.215,GNB,@,NOR,L 3-38,*,0,0,,0,,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,90%,0,0%,
50,2021,2021-09-20,2,2,24.223,GNB,,DET,W 35-17,*,0,0,,0,,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,100%,0,0%,
51,2021,2021-09-26,3,3,24.229,GNB,@,SFO,W 30-28,*,0,0,,0,,0,0,0.0,4,1,5,0,0,1,30,0,3,0,0,0,0,0,0,0,0%,70,100%,0,0%,
52,2021,2021-10-03,4,4,24.236,GNB,,PIT,W 27-17,*,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,60%,0,0%,
53,2021,2021-10-10,5,5,,GNB,@,CIN,W 25-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
54,2021,2021-10-17,6,6,,GNB,@,CHI,W 24-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
55,2021,2021-10-24,7,7,,GNB,,WAS,W 24-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
56,2021,2021-10-28,8,8,,GNB,@,ARI,W 24-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
57,2021,2021-11-07,9,9,,GNB,@,KAN,L 7-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
58,2021,2021-11-14,10,10,,GNB,,SEA,W 17-0,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
59,2021,2021-11-21,11,11,,GNB,@,MIN,L 31-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
60,2021,2021-11-28,12,12,,GNB,,LAR,W 36-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
