Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
47,2022,2022-12-19,14,15,24.231,GNB,,LAR,W 24-12,,11,36,3.27,2,3,3,35,11.67,0,100.0%,11.67,2,12,0.0,1,0,1,0,0,0,0,0,0,0,0,26,37%,0,0%,1,5%,
48,2022,2022-12-25,15,16,24.237,GNB,@,MIA,W 26-20,,11,36,3.27,1,3,2,12,6.00,0,66.7%,4.00,1,6,0.0,0,0,0,0,0,0,0,0,1,0,0,38,58%,0,0%,0,0%,
49,2022,2023-01-01,16,17,24.244,GNB,,MIN,W 41-17,,12,41,3.42,1,1,0,0,,0,0.0%,0.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,29,46%,0,0%,2,7%,
50,2022,2023-01-08,17,18,24.251,GNB,,DET,L 16-20,,9,33,3.67,0,3,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,52%,0,0%,0,0%,
51,2023,2023-09-10,1,1,25.131,GNB,@,CHI,W 38-20,,13,19,1.46,0,3,2,17,8.50,0,66.7%,5.67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,48%,0,0%,1,4%,
52,2023,2023-09-17,2,2,25.138,GNB,@,ATL,L 24-25,*,15,55,3.67,0,1,1,8,8.00,0,100.0%,8.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,68%,0,0%,0,0%,
53,2023,2023-09-24,3,3,25.145,GNB,,NOR,W 18-17,*,11,33,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,52%,0,0%,0,0%,
54,2023,2023-09-28,4,4,25.149,GNB,,DET,L 20-34,,5,11,2.20,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,67%,0,0%,0,0%,
55,2023,2023-10-09,5,5,25.160,GNB,@,LVR,L 13-17,*,20,76,3.80,1,1,0,0,,0,0.0%,0.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,37,64%,0,0%,0,0%,
56,2023,2023-10-22,6,7,25.173,GNB,@,DEN,L 17-19,,15,61,4.07,0,2,2,34,17.00,0,100.0%,17.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,56%,0,0%,6,24%,
57,2023,2023-10-29,7,8,25.180,GNB,,MIN,L 10-24,,6,11,1.83,0,5,5,41,8.20,0,100.0%,8.20,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,51%,0,0%,5,22%,
58,2023,2023-11-05,8,9,25.187,GNB,,LAR,W 20-3,,9,40,4.44,0,1,1,3,3.00,0,100.0%,3.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,40%,0,0%,2,9%,
