Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
57,2022,2022-11-06,8,9,24.268,LVR,@,JAX,L 20-27,*,17,67,3.94,0,3,3,20,6.67,0,100.0%,6.67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,69%,0,0%,0,0%,
58,2022,2022-11-13,9,10,24.275,LVR,,IND,L 20-25,*,21,78,3.71,1,8,6,28,4.67,0,75.0%,3.50,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,79%,0,0%,0,0%,
59,2022,2022-11-20,10,11,24.282,LVR,@,DEN,W 22-16,*,24,109,4.54,0,4,3,51,17.00,0,75.0%,12.75,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,80%,0,0%,0,0%,
60,2022,2022-11-27,11,12,24.289,LVR,@,SEA,W 40-34,*,33,229,6.94,2,7,6,74,12.33,0,85.7%,10.57,2,12,0.0,1,1,2,0,0,0,0,0,0,0,0,61,79%,0,0%,0,0%,
61,2022,2022-12-04,12,13,24.296,LVR,,LAC,W 27-20,*,26,144,5.54,1,2,2,6,3.00,0,100.0%,3.00,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,46,75%,0,0%,0,0%,
62,2022,2022-12-08,13,14,24.300,LVR,@,LAR,L 16-17,*,27,99,3.67,1,2,2,15,7.50,0,100.0%,7.50,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,50,83%,0,0%,0,0%,
63,2022,2022-12-18,14,15,24.310,LVR,,NWE,W 30-24,*,22,93,4.23,0,3,2,17,8.50,0,66.7%,5.67,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,51,75%,0,0%,0,0%,
64,2022,2022-12-24,15,16,24.316,LVR,@,PIT,L 10-13,*,15,44,2.93,0,1,1,6,6.00,0,100.0%,6.00,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,43,81%,0,0%,0,0%,
65,2022,2023-01-01,16,17,24.324,LVR,,SFO,L 34-37,*,17,69,4.06,1,5,4,26,6.50,0,80.0%,5.20,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,47,67%,0,0%,0,0%,
66,2022,2023-01-07,17,18,24.330,LVR,,KAN,L 13-31,*,17,45,2.65,0,3,2,5,2.50,0,66.7%,1.67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,71%,0,0%,0,0%,
