Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
52,2015,2015-10-04,4,4,26.363,JAX,@,IND,L 13-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,8,307,38.38,16,291,36.4,0,0.0%,5,62.5%,0,0,0%,0,0%,14,42%
53,2015,2015-10-11,5,5,27.005,JAX,@,TAM,L 31-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,221,55.25,85,136,34.0,0,0.0%,1,25.0%,0,0,0%,0,0%,9,28%
54,2015,2015-10-18,6,6,27.012,JAX,,HOU,L 20-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,234,46.80,25,189,37.8,1,20.0%,2,40.0%,0,0,0%,0,0%,9,31%
55,2015,2015-10-25,7,7,27.019,JAX,,BUF,W 34-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,6,269,44.83,37,232,38.7,0,0.0%,0,0.0%,0,0,0%,0,0%,11,34%
56,2015,2015-11-08,8,9,27.033,JAX,@,NYJ,L 23-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,203,40.60,42,161,32.2,0,0.0%,3,60.0%,0,0,0%,0,0%,10,29%
57,2015,2015-11-15,9,10,27.040,JAX,@,BAL,W 22-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,7,364,52.00,54,290,41.4,1,14.3%,0,0.0%,0,0,0%,0,0%,12,41%
58,2015,2015-11-19,10,11,27.044,JAX,,TEN,W 19-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,192,48.00,15,177,44.3,0,0.0%,3,75.0%,0,0,0%,0,0%,9,31%
59,2015,2015-11-29,11,12,27.054,JAX,,SDG,L 25-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,124,41.33,33,91,30.3,0,0.0%,1,33.3%,0,0,0%,0,0%,9,27%
60,2015,2015-12-06,12,13,27.061,JAX,@,TEN,L 39-42,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,160,53.33,11,129,43.0,1,33.3%,0,0.0%,0,0,0%,0,0%,8,26%
61,2015,2015-12-13,13,14,27.068,JAX,,IND,W 51-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,228,45.60,7,221,44.2,0,0.0%,1,20.0%,0,0,0%,0,0%,13,34%
62,2015,2015-12-20,14,15,27.075,JAX,,ATL,L 17-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,254,42.33,21,233,38.8,0,0.0%,1,16.7%,0,0,0%,0,0%,9,31%
63,2015,2015-12-27,15,16,27.082,JAX,@,NOR,L 27-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,150,50.00,1,149,49.7,0,0.0%,2,66.7%,0,0,0%,0,0%,4,15%
64,2015,2016-01-03,16,17,27.089,JAX,@,HOU,L 6-30,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,251,50.20,18,233,46.6,0,0.0%,3,60.0%,0,0,0%,0,0%,7,25%
65,2016,2016-09-11,1,1,27.341,TAM,@,ATL,W 31-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,247,49.40,22,225,45.0,0,0.0%,2,40.0%,0,0,0%,0,0%,10,32%
66,2016,2016-09-18,2,2,27.348,TAM,@,ARI,L 7-40,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,282,47.00,7,255,42.5,1,16.7%,3,50.0%,0,0,0%,0,0%,8,26%
67,2016,2016-09-25,3,3,27.355,TAM,,LAR,L 32-37,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,191,47.75,12,179,44.8,0,0.0%,1,25.0%,0,0,0%,0,0%,8,26%
68,2016,2016-10-02,4,4,27.362,TAM,,DEN,L 7-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,7,326,46.57,12,294,42.0,1,14.3%,3,42.9%,0,0,0%,0,0%,8,29%
69,2016,2016-10-10,5,5,28.004,TAM,@,CAR,W 17-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,225,45.00,6,219,43.8,0,0.0%,2,40.0%,0,0,0%,0,0%,10,40%
70,2016,2016-10-23,6,7,28.017,TAM,@,SFO,W 34-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,117,39.00,0,117,39.0,0,0.0%,2,66.7%,0,0,0%,0,0%,10,33%
71,2016,2016-10-30,7,8,28.024,TAM,,OAK,L 24-30,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,8,384,48.00,33,331,41.4,1,12.5%,3,37.5%,0,0,0%,0,0%,11,32%
72,2016,2016-11-03,8,9,28.028,TAM,,ATL,L 28-43,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,143,47.67,1,142,47.3,0,0.0%,3,100.0%,0,0,0%,0,0%,5,19%
73,2016,2016-11-13,9,10,28.038,TAM,,CHI,W 36-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,214,42.80,-3,217,43.4,0,0.0%,2,40.0%,0,0,0%,0,0%,11,39%
74,2016,2016-11-20,10,11,28.045,TAM,@,KAN,W 19-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,2,80,40.00,20,40,20.0,1,50.0%,0,0.0%,0,0,0%,0,0%,7,30%
75,2016,2016-11-27,11,12,28.052,TAM,,SEA,W 14-5,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,160,40.00,0,160,40.0,0,0.0%,4,100.0%,0,0,0%,0,0%,8,38%
76,2016,2016-12-04,12,13,28.059,TAM,@,SDG,W 28-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,2,108,54.00,12,96,48.0,0,0.0%,1,50.0%,0,0,0%,0,0%,7,29%
77,2016,2016-12-11,13,14,28.066,TAM,,NOR,W 16-11,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,185,46.25,6,159,39.8,1,25.0%,2,50.0%,0,0,0%,0,0%,9,38%
78,2016,2016-12-18,14,15,28.073,TAM,@,DAL,L 20-26,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,171,42.75,0,171,42.8,0,0.0%,1,25.0%,0,0,0%,0,0%,8,27%
79,2016,2016-12-24,15,16,28.079,TAM,@,NOR,L 24-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,153,51.00,0,153,51.0,0,0.0%,3,100.0%,0,0,0%,0,0%,7,27%
80,2016,2017-01-01,16,17,28.087,TAM,,CAR,W 17-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,5,229,45.80,0,229,45.8,0,0.0%,5,100.0%,0,0,0%,0,0%,10,37%
81,2017,2017-09-17,1,2,28.346,TAM,,CHI,W 29-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,146,48.67,10,136,45.3,0,0.0%,1,33.3%,0,0,0%,0,0%,10,45%
82,2017,2017-09-24,2,3,28.353,TAM,@,MIN,L 17-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,163,40.75,0,163,40.8,0,0.0%,0,0.0%,0,0,0%,0,0%,8,29%
83,2017,2017-10-01,3,4,28.360,TAM,,NYG,W 25-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,199,49.75,0,199,49.8,0,0.0%,2,50.0%,0,0,0%,0,0%,10,34%
84,2017,2017-10-05,4,5,28.364,TAM,,NWE,L 14-19,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,271,45.17,51,220,36.7,0,0.0%,3,50.0%,0,0,0%,0,0%,11,38%
85,2017,2017-10-15,5,6,29.009,TAM,@,ARI,L 33-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,154,38.50,0,154,38.5,0,0.0%,3,75.0%,0,0,0%,0,0%,5,19%
86,2017,2017-10-22,6,7,29.016,TAM,@,BUF,L 27-30,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,2,77,38.50,0,37,18.5,2,100.0%,0,0.0%,0,0,0%,0,0%,7,24%
87,2017,2017-10-29,7,8,29.023,TAM,,CAR,L 3-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,274,45.67,22,252,42.0,0,0.0%,3,50.0%,0,0,0%,0,0%,7,30%
88,2017,2017-11-05,8,9,29.030,TAM,@,NOR,L 10-30,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,239,39.83,-5,244,34.9,0,0.0%,3,50.0%,1,0,0%,0,0%,10,37%
89,2017,2017-11-12,9,10,29.037,TAM,,NYJ,W 15-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,260,43.33,-2,222,37.0,2,33.3%,1,16.7%,0,0,0%,0,0%,9,36%
90,2017,2017-11-19,10,11,29.044,TAM,@,MIA,W 30-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,249,41.50,20,229,38.2,0,0.0%,2,33.3%,0,0,0%,0,0%,13,43%
91,2017,2017-11-26,11,12,29.051,TAM,@,ATL,L 20-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,3,160,53.33,26,134,44.7,0,0.0%,0,0.0%,0,0,0%,0,0%,7,27%
92,2017,2017-12-03,12,13,29.058,TAM,@,GNB,L 20-26,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,176,35.20,2,174,34.8,0,0.0%,2,40.0%,0,0,0%,0,0%,9,32%
93,2017,2017-12-10,13,14,29.065,TAM,,DET,L 21-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,148,49.33,16,132,44.0,0,0.0%,0,0.0%,0,0,0%,0,0%,6,25%
94,2017,2017-12-18,14,15,29.073,TAM,,ATL,L 21-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,191,47.75,17,154,38.5,1,25.0%,2,50.0%,0,0,0%,0,0%,8,31%
95,2017,2017-12-24,15,16,29.079,TAM,@,CAR,L 19-22,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,50,50.00,3,47,47.0,0,0.0%,0,0.0%,0,0,0%,0,0%,7,25%
