Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
124,2023,2023-12-24,15,16,,DAL,@,MIA,L 20-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
125,2023,2023-12-30,16,17,,DAL,,DET,W 20-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
126,2023,2024-01-07,17,18,,DAL,@,WAS,W 38-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
127,2024,2024-09-08,1,1,34.217,DAL,@,CLE,W 33-17,,,,,,,,,,,,,,,,,,,,,,0,0%,4,5%,29,81%,
128,2024,2024-09-15,2,2,34.224,DAL,,NOR,L 19-44,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,22,81%,
129,2024,2024-09-22,3,3,34.231,DAL,,BAL,L 25-28,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,25,90%,
130,2024,2024-09-26,4,4,34.235,DAL,@,NYG,W 20-15,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,20,80%,
131,2024,2024-10-06,5,5,34.245,DAL,@,PIT,W 20-17,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,18,75%,
132,2024,2024-10-13,6,6,34.252,DAL,,DET,L 9-47,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,25,90%,
133,2024,2024-10-27,7,8,34.266,DAL,@,SFO,L 24-30,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,26,87%,
134,2024,2024-11-03,8,9,34.273,DAL,@,ATL,L 21-27,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,22,85%,
135,2024,2024-11-10,9,10,34.280,DAL,,PHI,L 6-34,,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,26,93%,
136,2024,2024-11-18,10,11,34.288,DAL,,HOU,L 10-34,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,23,85%,
