Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
34,2016,2016-09-18,2,2,22.359,NOR,@,NYG,L 13-16,,9,7,68,9.71,0,77.8%,7.56,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,53,85%,0,0%,0,0%,
35,2016,2016-09-26,3,3,23.001,NOR,,ATL,L 32-45,,8,2,13,6.50,0,25.0%,1.63,1,6,6.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,78,96%,0,0%,0,0%,
36,2016,2016-10-02,4,4,23.007,NOR,@,SDG,W 35-34,*,6,3,31,10.33,0,50.0%,5.17,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,50,68%,0,0%,0,0%,
37,2016,2016-10-16,5,6,23.021,NOR,,CAR,W 41-38,*,9,7,173,24.71,1,77.8%,19.22,1,2,2.00,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,56,77%,0,0%,0,0%,
38,2016,2016-10-23,6,7,23.028,NOR,@,KAN,L 21-27,*,9,7,58,8.29,1,77.8%,6.44,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,67,89%,0,0%,0,0%,
39,2016,2016-10-30,7,8,23.035,NOR,,SEA,W 25-20,*,6,4,44,11.00,1,66.7%,7.33,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,38,50%,0,0%,0,0%,
40,2016,2016-11-06,8,9,23.042,NOR,@,SFO,W 41-23,,6,5,66,13.20,0,83.3%,11.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,58,67%,0,0%,0,0%,
41,2016,2016-11-13,9,10,23.049,NOR,,DEN,L 23-25,*,5,3,98,32.67,1,60.0%,19.60,0,0,,0,0,0,,0,1,2,2.00,0,,1,6,0,0,0,0,0,0,38,75%,0,0%,1,4%,
42,2016,2016-11-17,10,11,23.053,NOR,@,CAR,L 20-23,*,8,7,42,6.00,0,87.5%,5.25,2,7,3.50,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,65,86%,0,0%,0,0%,
43,2016,2016-11-27,11,12,23.063,NOR,,LAR,W 49-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,45,61%,0,0%,0,0%,
