Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
49,2020,2020-09-13,1,1,25.163,GNB,@,MIN,W 43-34,,7,21,3.00,0,4,4,21,5.25,0,100.0%,5.25,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,40%,0,0%,7,27%,
50,2020,2020-09-20,2,2,25.170,GNB,,DET,W 42-21,,8,63,7.88,0,0,0,0,,0,0.0%,,0,0,,0,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,31,42%,0,0%,11,37%,
51,2020,2020-09-27,3,3,25.177,GNB,@,NOR,W 37-30,,6,14,2.33,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,31%,0,0%,9,28%,
52,2020,2020-10-05,4,4,25.185,GNB,,ATL,W 30-16,*,8,10,1.25,0,8,8,95,11.88,0,100.0%,11.88,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,57%,0,0%,9,39%,
53,2020,2020-10-18,5,6,25.198,GNB,@,TAM,L 10-38,,4,34,8.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,32,51%,0,0%,17,57%,
54,2020,2020-10-25,6,7,25.205,GNB,@,HOU,W 35-20,*,19,77,4.05,1,5,4,37,9.25,0,80.0%,7.40,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,89%,0,0%,2,7%,
55,2020,2020-11-01,7,8,25.212,GNB,,MIN,L 22-28,*,16,75,4.69,0,6,6,27,4.50,0,100.0%,4.50,0,0,,0,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,63,85%,0,0%,1,5%,
56,2020,2020-11-05,8,9,,GNB,@,SFO,W 34-17,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
57,2020,2020-11-15,9,10,25.226,GNB,,JAX,W 24-20,,8,30,3.75,0,4,3,25,8.33,0,75.0%,6.25,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,48%,0,0%,10,33%,
58,2020,2020-11-22,10,11,25.233,GNB,@,IND,L 31-34,,5,12,2.40,0,2,1,4,4.00,1,50.0%,2.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,30,50%,0,0%,12,38%,
