Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,2PM,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
31,2019,2019-12-22,15,16,25.004,IND,,CAR,W 38-6,*,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,78%,0,0%,0,0%,
32,2019,2019-12-29,16,17,25.011,IND,@,JAX,L 20-38,*,3,1,10,10.00,0,33.3%,3.33,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,71%,0,0%,0,0%,
33,2020,2020-09-13,1,1,25.270,IND,@,JAX,L 20-27,*,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,62%,0,0%,7,29%,
34,2020,2020-09-20,2,2,25.277,IND,,MIN,W 28-11,*,4,3,19,6.33,1,75.0%,4.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,59,81%,0,0%,4,16%,
35,2020,2020-09-27,3,3,25.284,IND,,NYJ,W 36-7,*,4,2,34,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,93%,0,0%,0,0%,
36,2020,2020-10-04,4,4,25.291,IND,@,CHI,W 19-11,*,8,3,58,19.33,0,37.5%,7.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,75%,0,0%,1,4%,
37,2020,2020-10-11,5,5,25.298,IND,@,CLE,L 23-32,*,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,91%,0,0%,0,0%,
38,2020,2020-10-18,6,6,25.305,IND,,CIN,W 31-27,*,7,4,54,13.50,1,57.1%,7.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,58,92%,0,0%,0,0%,
39,2020,2020-11-01,7,8,25.319,IND,@,DET,W 41-21,*,6,3,44,14.67,0,50.0%,7.33,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,75%,0,0%,6,20%,
40,2020,2020-11-08,8,9,25.326,IND,,BAL,L 10-24,*,6,5,55,11.00,0,83.3%,9.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,61%,0,0%,0,0%,
41,2020,2020-11-12,9,10,25.330,IND,@,TEN,W 34-17,*,5,4,33,8.25,0,80.0%,6.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,67%,0,0%,0,0%,
42,2020,2020-11-22,10,11,25.340,IND,,GNB,W 34-31,*,3,3,54,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,61%,0,0%,6,19%,
43,2020,2020-11-29,11,12,25.347,IND,,TEN,L 26-45,*,4,1,23,23.00,0,25.0%,5.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,72%,0,0%,0,0%,
44,2020,2020-12-06,12,13,25.354,IND,@,HOU,W 26-20,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,80%,0,0%,8,29%,
45,2020,2020-12-13,13,14,25.361,IND,@,LVR,W 44-27,*,2,1,27,27.00,0,50.0%,13.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,67%,0,0%,4,14%,
46,2020,2020-12-20,14,15,26.002,IND,,HOU,W 27-20,,6,5,79,15.80,2,83.3%,13.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,47,85%,0,0%,4,17%,
47,2020,2020-12-27,15,16,26.009,IND,@,PIT,L 24-28,*,6,3,64,21.33,1,50.0%,10.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,88%,0,0%,2,7%,
48,2020,2021-01-03,16,17,26.016,IND,,JAX,W 28-14,*,4,2,41,20.50,0,50.0%,10.25,0,0,,0,0,0,,0,0,0,,0,0,,,1,23,23.00,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,84%,0,0%,3,11%,
49,2021,2021-09-12,1,1,26.268,IND,,SEA,L 16-28,*,5,4,43,10.75,2,80.0%,8.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,69,91%,0,0%,1,4%,
50,2021,2021-09-19,2,2,26.275,IND,,LAR,L 24-27,*,6,5,38,7.60,1,83.3%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,91%,0,0%,0,0%,
51,2021,2021-09-26,3,3,26.282,IND,@,TEN,L 16-25,*,7,2,31,15.50,0,28.6%,4.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,89%,0,0%,0,0%,
52,2021,2021-10-03,4,4,26.289,IND,@,MIA,W 27-17,*,5,4,44,11.00,0,80.0%,8.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,82%,0,0%,4,14%,
53,2021,2021-10-11,5,5,26.297,IND,@,BAL,L 25-31,*,5,3,48,16.00,0,60.0%,9.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,86%,0,0%,5,20%,
54,2021,2021-10-17,6,6,26.303,IND,,HOU,W 31-3,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,85%,0,0%,2,8%,
55,2021,2021-10-24,7,7,26.310,IND,@,SFO,W 30-18,*,6,3,14,4.67,0,50.0%,2.33,0,0,,0,0,0,,0,0,0,,0,0,,,1,14,14.00,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,57,84%,0,0%,5,18%,
56,2021,2021-10-31,8,8,26.317,IND,,TEN,L 31-34,*,8,5,43,8.60,0,62.5%,5.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,75,94%,0,0%,7,23%,
