Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
87,2017,2017-10-22,7,7,28.136,NYJ,@,MIA,L 28-31,*,0,0,0,0,0,0,56,100%,0,0%,0,0%,
88,2017,2017-10-29,8,8,28.143,NYJ,,ATL,L 20-25,*,0,0,0,0,0,0,61,100%,0,0%,0,0%,
89,2017,2017-11-02,9,9,28.147,NYJ,,BUF,W 34-21,*,0,0,0,0,0,0,67,100%,0,0%,0,0%,
90,2017,2017-11-12,10,10,28.157,NYJ,@,TAM,L 10-15,*,0,0,0,0,0,0,69,100%,0,0%,0,0%,
91,2017,2017-11-26,11,12,28.171,NYJ,,CAR,L 27-35,*,0,0,0,0,0,0,70,100%,0,0%,4,11%,
92,2017,2017-12-03,12,13,28.178,NYJ,,KAN,W 38-31,*,0,0,0,0,0,0,91,100%,0,0%,7,23%,
93,2017,2017-12-10,13,14,28.185,NYJ,@,DEN,L 0-23,*,0,0,0,0,0,0,50,100%,0,0%,0,0%,
94,2017,2017-12-17,14,15,28.192,NYJ,@,NOR,L 19-31,*,0,0,0,0,0,0,72,100%,0,0%,3,10%,
95,2017,2017-12-24,15,16,28.199,NYJ,,LAC,L 7-14,*,0,0,0,0,0,0,64,98%,0,0%,1,4%,
96,2017,2017-12-31,16,17,28.206,NYJ,@,NWE,L 6-26,*,0,0,0,0,0,0,59,100%,0,0%,3,10%,
97,2018,2018-09-10,1,1,29.094,NYJ,@,DET,W 48-17,*,0,0,0,0,0,0,60,100%,0,0%,0,0%,
98,2018,2018-09-16,2,2,29.100,NYJ,,MIA,L 12-20,*,0,0,0,0,0,0,65,100%,0,0%,0,0%,
99,2018,2018-09-20,3,3,29.104,NYJ,@,CLE,L 17-21,*,0,0,0,0,0,0,63,100%,0,0%,0,0%,
100,2018,2018-09-30,4,4,29.114,NYJ,@,JAX,L 12-31,*,0,0,0,0,0,0,56,100%,0,0%,0,0%,
101,2018,2018-10-07,5,5,29.121,NYJ,,DEN,W 34-16,*,0,0,0,0,0,0,62,100%,0,0%,0,0%,
102,2018,2018-10-14,6,6,29.128,NYJ,,IND,W 42-34,*,0,0,0,0,0,0,71,100%,0,0%,0,0%,
103,2018,2018-10-21,7,7,29.135,NYJ,,MIN,L 17-37,*,0,0,0,0,0,0,71,100%,0,0%,0,0%,
104,2018,2018-10-28,8,8,29.142,NYJ,@,CHI,L 10-24,*,0,0,0,0,0,0,54,100%,0,0%,0,0%,
105,2018,2018-11-04,9,9,29.149,NYJ,@,MIA,L 6-13,*,0,0,0,0,0,0,66,100%,0,0%,0,0%,
106,2018,2018-11-11,10,10,29.156,NYJ,,BUF,L 10-41,*,0,0,0,0,0,0,56,100%,0,0%,0,0%,
107,2018,2018-11-25,11,12,29.170,NYJ,,NWE,L 13-27,*,0,0,0,0,0,0,64,100%,0,0%,0,0%,
108,2018,2018-12-02,12,13,29.177,NYJ,@,TEN,L 22-26,*,0,0,0,0,0,0,68,100%,0,0%,0,0%,
109,2018,2018-12-09,13,14,29.184,NYJ,@,BUF,W 27-23,*,0,0,0,0,0,0,54,100%,0,0%,0,0%,
110,2018,2018-12-15,14,15,29.190,NYJ,,HOU,L 22-29,*,0,0,0,0,0,0,75,100%,0,0%,2,6%,
111,2018,2018-12-23,15,16,29.198,NYJ,,GNB,L 38-44,*,0,0,0,0,0,0,60,100%,0,0%,0,0%,
112,2018,2018-12-30,16,17,29.205,NYJ,@,NWE,L 3-38,*,0,0,0,0,0,0,56,100%,0,0%,0,0%,
113,2019,2019-09-08,1,1,30.092,NYJ,,BUF,L 16-17,*,0,,,0,0,0,71,100%,0,0%,0,0%,
114,2019,2019-09-16,2,2,30.100,NYJ,,CLE,L 3-23,*,0,,,0,0,0,64,100%,0,0%,0,0%,
115,2019,2019-09-22,3,3,30.106,NYJ,@,NWE,L 14-30,*,0,,,0,0,0,50,100%,0,0%,0,0%,
116,2019,2019-10-06,4,5,30.120,NYJ,@,PHI,L 6-31,*,0,,,0,0,0,58,100%,0,0%,0,0%,
117,2019,2019-10-13,5,6,30.127,NYJ,,DAL,W 24-22,*,0,,,0,0,0,38,63%,0,0%,0,0%,
118,2019,2019-10-21,,7,,NYJ,,NWE,L 0-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
