Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
54,2013,2013-12-01,12,13,26.236,CAR,,TAM,W 27-6,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,46%,
55,2013,2013-12-08,13,14,26.243,CAR,@,NOR,L 13-31,,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,8,29%,
56,2013,2013-12-15,14,15,26.250,CAR,,NYJ,W 30-20,,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,46%,
57,2013,2013-12-22,15,16,26.257,CAR,,NOR,W 17-13,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,23%,
58,2013,2013-12-29,16,17,26.264,CAR,@,ATL,W 21-20,,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,26%,
59,2014,2014-09-07,1,1,27.151,CAR,@,TAM,W 20-14,,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,9,36%,
60,2014,2014-09-14,2,2,27.158,CAR,,DET,W 24-7,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,0,1,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,10,38%,
61,2014,2014-09-21,3,3,27.165,CAR,,PIT,L 19-37,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,8,28%,
62,2014,2014-09-28,4,4,27.172,CAR,@,BAL,L 10-38,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,5,20%,
63,2014,2014-10-05,5,5,27.179,CAR,,CHI,W 31-24,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,37%,
64,2014,2014-10-12,6,6,27.186,CAR,@,CIN,T 37-37,,4,4,100.0,3,4,75.0,0,13,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,17,49%,
65,2014,2014-10-19,7,7,27.193,CAR,@,GNB,L 17-38,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,6,19%,
66,2014,2014-10-26,8,8,27.200,CAR,,SEA,L 9-13,,,,,3,3,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,37%,
67,2014,2014-10-30,9,9,27.204,CAR,,NOR,L 10-28,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,5,21%,
68,2014,2014-11-10,10,10,27.215,CAR,@,PHI,L 21-45,,3,3,100.0,,,,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,19%,
69,2014,2014-11-16,11,11,27.221,CAR,,ATL,L 17-19,,2,2,100.0,1,3,33.3,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,9,27%,
70,2014,2014-11-30,12,13,27.235,CAR,@,MIN,L 13-31,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,23%,
71,2014,2014-12-07,13,14,27.242,CAR,@,NOR,W 41-10,,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,16,52%,
72,2014,2014-12-14,14,15,27.249,CAR,,TAM,W 19-17,,1,1,100.0,4,5,80.0,0,13,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,12,44%,
73,2014,2014-12-21,15,16,27.256,CAR,,CLE,W 17-13,,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,8,32%,
74,2014,2014-12-28,16,17,27.263,CAR,@,ATL,W 34-3,,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,54%,
75,2015,2015-09-13,1,1,28.157,CAR,@,JAX,W 20-9,,2,2,100.0,2,4,50.0,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,42%,
76,2015,2015-09-20,2,2,28.164,CAR,,HOU,W 24-17,,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,10,31%,
77,2015,2015-09-27,3,3,28.171,CAR,,NOR,W 27-22,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,42%,
78,2015,2015-10-04,4,4,28.178,CAR,@,TAM,W 37-23,,4,4,100.0,3,3,100.0,0,13,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,15,47%,
79,2015,2015-10-18,5,6,28.192,CAR,@,SEA,W 27-23,,3,4,75.0,,,,0,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,9,28%,
80,2015,2015-10-25,6,7,28.199,CAR,,PHI,W 27-16,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,37%,
81,2015,2015-11-02,7,8,28.207,CAR,,IND,W 29-26,,2,3,66.7,3,3,100.0,0,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,34%,
82,2015,2015-11-08,8,9,28.213,CAR,,GNB,W 37-29,,4,4,100.0,3,4,75.0,0,13,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,16,42%,
83,2015,2015-11-15,9,10,28.220,CAR,@,TEN,W 27-10,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,44%,
84,2015,2015-11-22,10,11,28.227,CAR,,WAS,W 44-16,,5,5,100.0,3,3,100.0,0,14,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,16,50%,
85,2015,2015-11-26,11,12,28.231,CAR,@,DAL,W 33-14,,3,3,100.0,4,5,80.0,0,15,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,16,59%,
86,2015,2015-12-06,12,13,28.241,CAR,@,NOR,W 41-38,,5,6,83.3,,,,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,41%,
87,2015,2015-12-13,13,14,28.248,CAR,,ATL,W 38-0,,5,5,100.0,1,1,100.0,0,8,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,57%,
88,2015,2015-12-20,14,15,28.255,CAR,@,NYG,W 38-35,,5,5,100.0,1,2,50.0,0,8,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,34%,
89,2015,2015-12-27,15,16,28.262,CAR,@,ATL,L 13-20,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,33%,
90,2015,2016-01-03,16,17,28.269,CAR,,TAM,W 38-10,,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,54%,
91,2016,2016-09-08,1,1,29.152,CAR,@,DEN,L 20-21,,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,10,42%,
92,2016,2016-09-18,2,2,29.162,CAR,,SFO,W 46-27,,4,5,80.0,4,4,100.0,0,16,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,19,48%,
93,2016,2016-09-25,3,3,29.169,CAR,,MIN,L 10-22,,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,6,22%,
94,2016,2016-10-02,4,4,29.176,CAR,@,ATL,L 33-48,,2,2,100.0,1,1,100.0,0,5,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,9,26%,
95,2016,2016-10-10,5,5,29.184,CAR,,TAM,L 14-17,,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,6,24%,
96,2016,2016-10-16,6,6,29.190,CAR,@,NOR,L 38-41,,3,4,75.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,12,32%,
97,2016,2016-10-30,7,8,29.204,CAR,,ARI,W 30-20,,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,46%,
98,2016,2016-11-06,8,9,29.211,CAR,@,LAR,W 13-10,,1,1,100.0,2,3,66.7,0,7,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,8,31%,
