Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
69,2023,2023-09-24,3,3,,PIT,@,LVR,W 23-18,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
70,2023,2023-10-01,4,4,,PIT,@,HOU,L 6-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,2023,2023-10-08,5,5,26.316,PIT,,BAL,W 17-10,,0,0,0,,0,0.0%,,0,0,,0,1,24,24.00,0,1,8,8.00,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,4,6%,0,0%,7,28%,
72,2023,2023-10-29,8,8,26.337,NYG,,NYJ,L 10-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,6,56,9.33,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0%,0,0%,11,30%,
73,2023,2023-11-05,9,9,26.344,NYG,@,LVR,L 6-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,33,11.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,5,21%,
74,2023,2023-11-12,10,10,26.351,NYG,@,DAL,L 17-49,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,4,13%,
75,2023,2023-11-19,11,11,26.358,NYG,@,WAS,W 31-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,16,8.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,4,14%,
76,2023,2023-11-26,12,12,27.000,NYG,,NWE,W 10-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,6,26%,
77,2023,2023-12-11,13,14,27.015,NYG,,GNB,W 24-22,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,9,33%,
78,2023,2023-12-17,14,15,27.021,NYG,@,NOR,L 6-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,15,7.50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,10,43%,
79,2023,2023-12-25,15,16,27.029,NYG,@,PHI,L 25-33,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,10,5.00,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,3,5%,0,0%,9,31%,
80,2023,2023-12-31,16,17,27.035,NYG,,LAR,L 25-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,4,108,27.00,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,10,33%,
81,2023,2024-01-07,17,18,27.042,NYG,,PHI,W 27-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,29,9.67,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1%,0,0%,8,31%,
