Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
89,2020,2020-12-20,14,15,,NYJ,@,LAR,W 23-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
90,2020,2020-12-27,15,16,,NYJ,,CLE,W 23-16,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
91,2020,2021-01-03,16,17,30.312,NYJ,@,NWE,L 14-28,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,63,100%,0,0%,2,8%,
92,2021,2021-09-12,1,1,31.198,NYJ,@,CAR,L 14-19,*,,,,,,0.0%,,,,,,,,,,,,,,65,100%,0,0%,0,0%,
93,2021,2021-09-19,2,2,31.205,NYJ,,NWE,L 6-25,*,,,,,,0.0%,,,,,,,,,,,,,,73,100%,0,0%,3,12%,
94,2021,2021-09-26,3,3,31.212,NYJ,@,DEN,L 0-26,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,54,100%,0,0%,0,0%,
95,2021,2021-10-03,4,4,31.219,NYJ,,TEN,W 27-24,*,,,,,,0.0%,,,,,,,,,,,,,,61,100%,0,0%,5,15%,
96,2021,2021-10-10,5,5,31.226,NYJ,@,ATL,L 20-27,*,,,,,,0.0%,,,,,,,,,,,,,,56,100%,0,0%,3,13%,
97,2021,2021-10-24,6,7,31.240,NYJ,@,NWE,L 13-54,*,,,,,,0.0%,,,,,,,,,,,,,,65,100%,0,0%,1,4%,
98,2021,2021-10-31,7,8,31.247,NYJ,,CIN,W 34-31,*,,,,,,0.0%,,,,,,,,,,,,,,84,100%,0,0%,5,18%,
99,2021,2021-11-04,8,9,31.251,NYJ,@,IND,L 30-45,*,,,,,,0.0%,,,,,,,,,,,,,,77,100%,0,0%,4,13%,
100,2021,2021-11-14,9,10,31.261,NYJ,,BUF,L 17-45,*,,,,,,0.0%,,,,,,,,,,,,,,77,100%,0,0%,3,11%,
101,2021,2021-11-21,10,11,31.268,NYJ,,MIA,L 17-24,,,,,,,0.0%,,,,,,,,,,,,,,0,0%,0,0%,5,18%,
102,2021,2021-11-28,11,12,31.275,NYJ,@,HOU,W 21-14,,,,,,,0.0%,,,,,,,,,,,,,,0,0%,0,0%,5,20%,
103,2021,2021-12-05,12,13,31.282,NYJ,,PHI,L 18-33,,,,,,,0.0%,,,,,,,,,,,,,,26,44%,0,0%,2,8%,
104,2021,2021-12-12,13,14,31.289,NYJ,,NOR,L 9-30,,,,,,,0.0%,,,,,,,,,,,,,,0,0%,0,0%,3,10%,
105,2021,2021-12-19,14,15,31.296,NYJ,@,MIA,L 24-31,,,,,,,0.0%,,,,,,,,,,,,,,0,0%,0,0%,4,13%,
