Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
69,2023,2023-09-21,3,3,26.252,NYG,@,SFO,L 12-30,*,6,3,32,10.67,0,50.0%,5.33,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,84%,0,0%,0,0%,
70,2023,2023-10-02,4,4,26.263,NYG,,SEA,L 3-24,*,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,88%,0,0%,0,0%,
71,2023,2023-10-08,5,5,26.269,NYG,@,MIA,L 16-31,,4,2,35,17.50,0,50.0%,8.75,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,68%,0,0%,0,0%,
72,2023,2023-10-15,6,6,26.276,NYG,@,BUF,L 9-14,*,6,4,69,17.25,0,66.7%,11.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,87%,0,0%,0,0%,
73,2023,2023-10-22,7,7,26.283,NYG,,WAS,W 14-7,,2,1,22,22.00,0,50.0%,11.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,84%,0,0%,2,7%,
74,2023,2023-10-29,8,8,26.290,NYG,,NYJ,L 10-13,*,2,1,-1,-1.00,0,50.0%,-0.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,74,99%,0,0%,0,0%,
75,2023,2023-11-05,9,9,26.297,NYG,@,LVR,L 6-30,*,7,4,59,14.75,0,57.1%,8.43,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,81%,0,0%,0,0%,
76,2023,2023-11-12,10,10,26.304,NYG,@,DAL,L 17-49,*,4,3,21,7.00,0,75.0%,5.25,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,79%,0,0%,0,0%,
77,2023,2023-11-19,11,11,26.311,NYG,@,WAS,W 31-19,*,5,4,82,20.50,1,80.0%,16.40,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,28,51%,0,0%,0,0%,
78,2023,2023-11-26,12,12,26.318,NYG,,NWE,W 10-7,,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,54%,0,0%,0,0%,
79,2023,2023-12-11,13,14,26.333,NYG,,GNB,W 24-22,*,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,93%,0,0%,0,0%,
80,2023,2023-12-17,14,15,26.339,NYG,@,NOR,L 6-24,*,8,4,63,15.75,0,50.0%,7.88,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,95%,0,0%,0,0%,
81,2023,2023-12-25,15,16,26.347,NYG,@,PHI,L 25-33,*,3,3,90,30.00,1,100.0%,30.00,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,59,94%,0,0%,0,0%,
82,2023,2023-12-31,16,17,26.353,NYG,,LAR,L 25-26,*,6,4,106,26.50,1,66.7%,17.67,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,64,86%,0,0%,0,0%,
83,2023,2024-01-07,17,18,26.360,NYG,,PHI,W 27-10,*,7,5,62,12.40,1,71.4%,8.86,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,52,78%,0,0%,0,0%,
84,2024,2024-09-08,1,1,27.240,NYG,,MIN,L 6-28,,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,51,72%,0,0%,4,17%,
85,2024,2024-09-15,2,2,27.247,NYG,@,WAS,L 18-21,*,4,3,33,11.00,0,75.0%,8.25,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,88%,0,0%,0,0%,
86,2024,2024-09-22,3,3,27.254,NYG,@,CLE,W 21-15,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,82%,0,0%,0,0%,
87,2024,2024-09-26,4,4,27.258,NYG,,DAL,L 15-20,*,5,3,56,18.67,0,60.0%,11.20,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,84%,0,0%,0,0%,
88,2024,2024-10-06,5,5,27.268,NYG,@,SEA,W 29-20,*,11,8,122,15.25,1,72.7%,11.09,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,65,90%,0,0%,0,0%,
89,2024,2024-10-13,6,6,27.275,NYG,,CIN,L 7-17,*,11,6,57,9.50,0,54.5%,5.18,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,86%,0,0%,0,0%,
90,2024,2024-10-20,7,7,27.282,NYG,,PHI,L 3-28,*,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,
91,2024,2024-10-28,8,8,27.290,NYG,@,PIT,L 18-26,*,7,4,108,27.00,0,57.1%,15.43,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
92,2024,2024-11-03,9,9,27.296,NYG,,WAS,L 22-27,*,3,3,49,16.33,0,100.0%,16.33,1,11,11.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,92%,0,0%,0,0%,
93,2024,2024-11-10,10,10,,NYG,@,CAR,L 17-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
94,2024,2024-11-24,11,12,27.317,NYG,,TAM,L 7-30,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,58%,0,0%,0,0%,
