Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
50,2022,2022-09-08,1,1,25.005,BUF,@,LAR,W 31-10,*,8,48,6.00,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,59%,0,0%,0,0%,
51,2022,2022-09-19,2,2,25.016,BUF,,TEN,W 41-7,*,6,19,3.17,0,3,2,2,1.00,0,66.7%,0.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,54%,0,0%,0,0%,
52,2022,2022-09-25,3,3,25.022,BUF,@,MIA,L 19-21,*,9,13,1.44,0,11,9,78,8.67,1,81.8%,7.09,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,67,73%,0,0%,0,0%,
53,2022,2022-10-02,4,4,25.029,BUF,@,BAL,W 23-20,*,11,49,4.45,0,5,4,47,11.75,0,80.0%,9.40,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,1,1,0,0,1,1,0,0,0,0,56,88%,0,0%,0,0%,
54,2022,2022-10-09,5,5,25.036,BUF,,PIT,W 38-3,*,6,42,7.00,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,54%,0,0%,0,0%,
55,2022,2022-10-16,6,6,25.043,BUF,@,KAN,W 24-20,*,17,85,5.00,0,5,4,22,5.50,0,80.0%,4.40,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,86%,0,0%,0,0%,
56,2022,2022-10-30,7,8,25.057,BUF,,GNB,W 27-17,*,14,67,4.79,0,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,44,75%,0,0%,0,0%,
57,2022,2022-11-06,8,9,25.064,BUF,@,NYJ,L 17-20,*,8,24,3.00,0,5,4,24,6.00,0,80.0%,4.80,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,74%,0,0%,0,0%,
58,2022,2022-11-13,9,10,25.071,BUF,,MIN,L 30-33,*,13,47,3.62,2,2,1,0,0.00,0,50.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0.0,0,0,0,0,0,1,1,0,0,0,0,54,72%,0,0%,0,0%,
59,2022,2022-11-20,10,11,25.078,BUF,,CLE,W 31-23,*,18,86,4.78,1,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,47,72%,0,0%,0,0%,
