Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
47,2014,2014-12-21,15,16,24.316,STL,,NYG,L 27-37,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,202,50.50,0,182,45.5,1,25.0%,3,75.0%,0,0,0%,0,0%,10,30%
48,2014,2014-12-28,16,17,24.323,STL,@,SEA,L 6-20,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,247,49.40,7,240,48.0,0,0.0%,1,20.0%,0,0,0%,0,0%,7,32%
49,2015,2015-09-13,1,1,25.217,STL,,SEA,W 34-31,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,142,47.33,63,79,26.3,0,0.0%,0,0.0%,0,0,0%,0,0%,9,28%
50,2015,2015-09-20,2,2,25.224,STL,@,WAS,L 10-24,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,381,47.63,12,369,46.1,0,0.0%,4,50.0%,0,0,0%,0,0%,12,40%
51,2015,2015-09-27,3,3,25.231,STL,,PIT,L 6-12,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,170,42.50,0,150,37.5,1,25.0%,2,50.0%,0,0,0%,0,0%,7,35%
52,2015,2015-10-04,4,4,25.238,STL,@,ARI,W 24-22,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,348,49.71,32,316,45.1,0,0.0%,2,28.6%,0,0,0%,0,0%,11,37%
53,2015,2015-10-11,5,5,25.245,STL,@,GNB,L 10-24,,1,1,100.00,20,0,0,118.7,0,0,20.00,20.00,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,181,45.25,9,152,38.0,1,25.0%,1,25.0%,0,0,0%,0,0%,10,37%
54,2015,2015-10-25,6,7,25.259,STL,,CLE,W 24-6,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,5,244,48.80,4,240,48.0,0,0.0%,3,60.0%,0,0,0%,0,0%,11,42%
55,2015,2015-11-01,7,8,25.266,STL,,SFO,W 27-6,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,436,54.50,38,398,49.8,0,0.0%,4,50.0%,0,0,0%,0,0%,12,36%
56,2015,2015-11-08,8,9,25.273,STL,@,MIN,L 18-21,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,372,46.50,40,332,41.5,0,0.0%,2,25.0%,0,0,0%,0,0%,14,40%
