Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
46,2021,2021-12-21,14,15,24.234,PHI,,WAS,W 27-17,*,18,131,7.28,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,,0,0,0,0,0,0,0,0,35,49%,0,0%,0,0%,
47,2021,2021-12-26,15,16,24.239,PHI,,NYG,W 34-10,*,7,45,6.43,0,3,1,3,3.00,0,33.3%,1.00,0,0,,0,,0,0,0,0,0,0,0,0,19,30%,0,0%,0,0%,
48,2021,2022-01-02,16,17,,PHI,@,WAS,W 20-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,2021,2022-01-08,17,18,,PHI,,DAL,L 26-51,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,2022,2022-09-11,1,1,25.133,PHI,@,DET,W 38-35,*,13,96,7.38,1,2,2,9,4.50,0,100.0%,4.50,0,0,,0,,1,6,0,0,0,0,0,0,40,52%,0,0%,0,0%,
51,2022,2022-09-19,2,2,25.141,PHI,,MIN,W 24-7,*,17,80,4.71,0,3,3,6,2.00,0,100.0%,2.00,0,0,,0,,0,0,0,0,0,1,2,0,39,53%,0,0%,0,0%,
52,2022,2022-09-25,3,3,25.147,PHI,@,WAS,W 24-8,*,15,46,3.07,0,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,,0,0,0,0,0,0,0,0,41,59%,0,0%,0,0%,
53,2022,2022-10-02,4,4,25.154,PHI,,JAX,W 29-21,*,27,134,4.96,2,3,2,22,11.00,0,66.7%,7.33,0,0,,0,,2,12,0,0,0,1,0,0,55,67%,0,0%,0,0%,
54,2022,2022-10-09,5,5,25.161,PHI,@,ARI,W 20-17,*,15,58,3.87,0,3,2,6,3.00,0,66.7%,2.00,0,0,,0,,0,0,0,0,0,0,0,0,54,74%,0,0%,0,0%,
55,2022,2022-10-16,6,6,25.168,PHI,,DAL,W 26-17,*,18,71,3.94,1,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,1,6,0,0,0,0,0,0,44,62%,0,0%,0,0%,
56,2022,2022-10-30,7,8,25.182,PHI,,PIT,W 35-13,*,9,78,8.67,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0,0,0,0,0,0,29,51%,0,0%,0,0%,
57,2022,2022-11-03,8,9,25.186,PHI,@,HOU,W 29-17,*,17,93,5.47,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0,0,0,0,0,0,42,65%,0,0%,0,0%,
58,2022,2022-11-14,9,10,25.197,PHI,,WAS,L 21-32,,12,54,4.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,29,58%,0,0%,0,0%,
59,2022,2022-11-20,10,11,25.203,PHI,@,IND,W 17-16,*,13,47,3.62,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,0,0,0,0,0,0,0,0,44,65%,0,0%,0,0%,
60,2022,2022-11-27,11,12,25.210,PHI,,GNB,W 40-33,,21,143,6.81,2,3,3,17,5.67,0,100.0%,5.67,0,0,,0,,2,12,0,0,0,1,0,0,43,54%,0,0%,0,0%,
61,2022,2022-12-04,12,13,25.217,PHI,,TEN,W 35-10,*,10,24,2.40,1,2,2,14,7.00,0,100.0%,7.00,0,0,,0,,1,6,0,0,0,0,0,0,39,53%,0,0%,0,0%,
62,2022,2022-12-11,13,14,25.224,PHI,@,NYG,W 48-22,*,17,144,8.47,2,3,1,11,11.00,0,33.3%,3.67,0,0,,0,,2,12,0,0,0,0,0,0,45,66%,0,0%,0,0%,
63,2022,2022-12-18,14,15,25.231,PHI,@,CHI,W 25-20,*,11,42,3.82,0,1,1,-13,-13.00,0,100.0%,-13.00,0,0,,0,,0,0,1,1,0,0,0,0,40,55%,0,0%,0,0%,
64,2022,2022-12-24,15,16,25.237,PHI,@,DAL,L 34-40,*,21,65,3.10,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,1,1,0,0,0,0,38,54%,0,0%,0,0%,
65,2022,2023-01-01,16,17,25.245,PHI,,NOR,L 10-20,*,12,61,5.08,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,22,40%,0,0%,0,0%,
66,2022,2023-01-08,17,18,25.252,PHI,,NYG,W 22-16,*,11,33,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,29,40%,0,0%,0,0%,
