Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
50,2020,2020-09-20,2,2,25.138,GNB,,DET,W 42-21,*,0,0,,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,53,90%,1,3%,
51,2020,2020-09-27,3,3,25.145,GNB,@,NOR,W 37-30,*,0,0,,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,100%,2,6%,
52,2020,2020-10-05,4,4,25.153,GNB,,ATL,W 30-16,*,0,0,,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,30,43%,0,0%,
53,2020,2020-10-18,5,6,,GNB,@,TAM,L 10-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,2020,2020-10-25,6,7,,GNB,@,HOU,W 35-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,2020,2020-11-01,7,8,,GNB,,MIN,L 22-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,2020,2020-11-05,8,9,,GNB,@,SFO,W 34-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,2020,2020-11-15,9,10,,GNB,,JAX,W 24-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,2020,2020-11-22,10,11,25.201,GNB,@,IND,L 31-34,*,0,0,,0,0.0,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,84,100%,0,0%,
59,2020,2020-11-29,11,12,25.208,GNB,,CHI,W 41-25,*,0,0,,0,0.0,3,1,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0%,66,97%,0,0%,
