Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
100,2021,2021-10-03,4,4,27.124,TAM,@,NWE,W 19-17,,0.0,0,0,0,0,0,4,170,42.50,17,133,33.3,1,25.0%,0,0.0%,0,0,0%,0,0%,16,55%,
101,2021,2021-10-10,5,5,27.131,TAM,,MIA,W 45-17,,0.0,0,0,0,0,0,1,41,41.00,0,41,41.0,0,0.0%,1,100.0%,0,0,0%,0,0%,17,61%,
102,2021,2021-10-14,6,6,27.135,TAM,@,PHI,W 28-22,,0.0,0,0,0,0,0,3,127,42.33,0,127,42.3,0,0.0%,2,66.7%,0,0,0%,0,0%,12,50%,
103,2021,2021-10-24,7,7,27.145,TAM,,CHI,W 38-3,,0.0,0,0,0,0,0,4,161,40.25,13,128,32.0,1,25.0%,1,25.0%,0,0,0%,0,0%,18,72%,
104,2021,2021-10-31,8,8,27.152,TAM,@,NOR,L 27-36,,0.0,0,0,0,0,0,3,126,42.00,12,114,38.0,0,0.0%,2,66.7%,0,0,0%,0,0%,11,38%,
105,2021,2021-11-14,9,10,27.166,TAM,@,WAS,L 19-29,,0.0,0,0,0,0,0,3,124,41.33,10,114,38.0,0,0.0%,2,66.7%,0,0,0%,0,0%,11,44%,
106,2021,2021-11-22,10,11,27.174,TAM,,NYG,W 30-10,,0.0,0,0,0,0,0,3,136,45.33,0,136,45.3,0,0.0%,2,66.7%,0,0,0%,0,0%,16,64%,
107,2021,2021-11-28,11,12,27.180,TAM,@,IND,W 38-31,,0.0,0,0,0,0,0,4,164,41.00,22,142,35.5,0,0.0%,1,25.0%,0,0,0%,0,0%,17,55%,
108,2021,2021-12-05,12,13,27.187,TAM,@,ATL,W 30-17,,0.0,0,0,0,0,0,3,133,44.33,7,126,42.0,0,0.0%,2,66.7%,0,0,0%,0,0%,14,54%,
109,2021,2021-12-12,13,14,27.194,TAM,,BUF,W 33-27,,0.0,0,0,0,0,0,5,196,39.20,9,187,37.4,0,0.0%,1,20.0%,0,0,0%,0,0%,17,49%,
110,2021,2021-12-19,14,15,27.201,TAM,,NOR,L 0-9,,0.0,0,0,0,0,0,8,336,42.00,38,298,37.3,0,0.0%,3,37.5%,0,0,0%,0,0%,10,37%,
111,2021,2021-12-26,15,16,,TAM,@,CAR,W 32-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
112,2021,2022-01-02,16,17,,TAM,@,NYJ,W 28-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
113,2021,2022-01-09,17,18,27.222,TAM,,CAR,W 41-17,,0.0,0,0,0,0,0,3,133,44.33,0,133,44.3,0,0.0%,0,0.0%,0,0,0%,0,0%,19,68%,
114,2022,2022-09-11,1,1,28.102,ATL,,NOR,L 26-27,,0.0,0,0,0,0,0,4,180,45.00,12,168,42.0,0,0.0%,2,50.0%,0,0,0%,0,0%,17,53%,
115,2022,2022-09-18,2,2,28.109,ATL,@,LAR,L 27-31,,0.0,0,0,0,0,0,1,44,44.00,-1,45,45.0,0,0.0%,0,0.0%,0,0,0%,0,0%,10,43%,
116,2022,2022-09-25,3,3,28.116,ATL,@,SEA,W 27-23,,0.0,0,0,0,0,0,1,73,73.00,0,53,53.0,1,100.0%,0,0.0%,0,0,0%,0,0%,12,48%,
117,2022,2022-10-02,4,4,28.123,ATL,,CLE,W 23-20,,0.0,0,0,0,0,0,3,153,51.00,7,146,48.7,0,0.0%,0,0.0%,0,0,0%,0,0%,14,54%,
118,2022,2022-10-09,5,5,28.130,ATL,@,TAM,L 15-21,,0.0,0,0,0,0,0,6,290,48.33,40,250,41.7,0,0.0%,3,50.0%,0,0,0%,0,0%,11,50%,
119,2022,2022-10-16,6,6,28.137,ATL,,SFO,W 28-14,,0.0,0,0,0,0,0,5,215,43.00,35,180,36.0,0,0.0%,3,60.0%,0,0,0%,0,0%,14,64%,
120,2022,2022-10-23,7,7,28.144,ATL,@,CIN,L 17-35,,0.0,0,0,0,0,0,6,282,47.00,40,242,40.3,0,0.0%,1,16.7%,0,0,0%,0,0%,12,48%,
121,2022,2022-10-30,8,8,28.151,ATL,,CAR,W 37-34,,0.0,0,0,0,0,0,4,210,52.50,46,164,41.0,0,0.0%,1,25.0%,0,0,0%,0,0%,18,51%,
122,2022,2022-11-06,9,9,28.158,ATL,,LAC,L 17-20,,0.0,0,0,0,0,0,4,204,51.00,29,175,43.8,0,0.0%,0,0.0%,0,0,0%,0,0%,12,50%,
123,2022,2022-11-10,10,10,28.162,ATL,@,CAR,L 15-25,,0.0,0,0,0,0,0,5,174,34.80,0,174,34.8,0,0.0%,2,40.0%,0,0,0%,0,0%,11,38%,
124,2022,2022-11-20,11,11,28.172,ATL,,CHI,W 27-24,,0.0,0,0,0,0,0,3,139,46.33,0,119,39.7,1,33.3%,1,33.3%,0,0,0%,0,0%,13,48%,
125,2022,2022-11-27,12,12,28.179,ATL,@,WAS,L 13-19,,0.0,0,0,0,0,0,3,122,40.67,0,122,40.7,0,0.0%,1,33.3%,0,0,0%,0,0%,11,46%,
126,2022,2022-12-04,13,13,28.186,ATL,,PIT,L 16-19,,0.0,0,0,0,0,0,3,137,45.67,1,136,45.3,0,0.0%,3,100.0%,0,0,0%,0,0%,12,48%,
127,2022,2022-12-18,14,15,28.200,ATL,@,NOR,L 18-21,,0.0,0,0,0,0,0,5,208,41.60,1,207,41.4,0,0.0%,3,60.0%,0,0,0%,0,0%,11,50%,
128,2022,2022-12-24,15,16,28.206,ATL,@,BAL,L 9-17,,0.0,0,0,0,0,0,3,112,37.33,14,98,32.7,0,0.0%,0,0.0%,0,0,0%,0,0%,9,43%,
129,2022,2023-01-01,16,17,28.214,ATL,,ARI,W 20-19,,0.0,0,0,0,0,0,3,148,49.33,14,134,44.7,0,0.0%,2,66.7%,0,0,0%,0,0%,11,44%,
130,2022,2023-01-08,17,18,28.221,ATL,,TAM,W 30-17,,0.0,0,0,0,0,0,3,154,51.33,12,142,47.3,0,0.0%,1,33.3%,0,0,0%,0,0%,16,57%,
131,2023,2023-09-10,1,1,29.101,ATL,,CAR,W 24-10,,0.0,0,0,0,0,0,7,337,48.14,14,323,46.1,0,0.0%,3,42.9%,0,0,0%,0,0%,16,62%,
132,2023,2023-09-17,2,2,29.108,ATL,,GNB,W 25-24,,0.0,0,0,0,0,0,1,45,45.00,0,45,45.0,0,0.0%,0,0.0%,0,0,0%,0,0%,14,52%,
133,2023,2023-09-24,3,3,29.115,ATL,@,DET,L 6-20,,0.0,0,0,0,0,0,6,295,49.17,25,270,45.0,0,0.0%,1,16.7%,0,0,0%,0,0%,12,45%,
134,2023,2023-10-01,4,4,29.122,ATL,@,JAX,L 7-23,,0.0,0,0,0,0,0,5,271,54.20,17,254,50.8,0,0.0%,3,60.0%,0,0,0%,0,0%,8,36%,
135,2023,2023-10-08,5,5,29.129,ATL,,HOU,W 21-19,,0.0,0,0,0,0,0,5,200,40.00,19,161,32.2,1,20.0%,1,20.0%,0,0,0%,0,0%,12,41%,
136,2023,2023-10-15,6,6,29.136,ATL,,WAS,L 16-24,,0.0,0,0,0,0,0,3,140,46.67,61,79,26.3,0,0.0%,2,66.7%,0,0,0%,0,0%,9,38%,
